Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Furina,95,35685,893,762,19,155.5,95.4,172.0,Hydro,46.6,202.2,5
Columbina,90,35723,890,700,169,106.5,99.4,189.1,N/A,0.0,153.7,1
Escoffier,90,19277,2089,769,37,136.8,87.0,194.6,Cryo,46.6,191.79999999999998,1
Arlecchino,90,18630,2487,804,42,100.0,57.8,217.4,Pyro,46.6,128.3,1
Mavuika,90,18499,2106,968,245,100.0,47.4,242.3,Pyro,46.6,176.4,1
Varesa,90,17479,1905,854,40,118.1,69.7,239.6,Electro,46.6,163.29999999999998,1
Skirk,90,19979,2113,1023,0,100.0,49.3,248.5,Cryo,46.6,186.5,5
Nefer,80,18197,1173,856,712,113.0,51.5,317.3,N/A,0.0,155.39999999999998,1
Ineffa,90,17901,2236,1054,79,135.8,76.7,187.6,N/A,0.0,180.3,5
Lauma,80,16664,1117,793,961,195.6,40.8,94.3,N/A,0.0,115.89999999999999,5
Flins,90,22337,2777,862,103,168.1,51.6,181.6,N/A,0.0,124.2,1
ID_10000126,90,20121,1229,2343,96,109.7,61.4,305.6,N/A,0.0,179.7,1
