Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Furina,95,35685,893,762,19,155.5,95.4,172.0,Hydro,46.6,202.2,Golden Troupe,HP,4780,51.4,Crit Rate:11.7 | HP%:5.3 | Crit DMG:28 | EM:19,Golden Troupe,ATK,311,43.6,HP:299 | Crit Rate:7.4 | HP%:10.5 | Crit DMG:28.8,Golden Troupe,HP%,46.6,41.2,Crit Rate:17.1 | Crit DMG:7 | ER%:10.4 | HP:209,Emblem of Severed Fate,Hydro DMG%,46.6,37.3,HP%:15.7 | Crit DMG:29.5 | Crit Rate:3.9 | DEF%:5.8,Golden Troupe,Crit Rate,31.1,28.7,HP%:9.9 | Crit DMG:28.7 | HP:598 | ATK:18
Columbina,90,35723,890,700,169,106.5,99.4,189.1,N/A,0.0,153.7,Set_15043,HP,4780,28.0,Crit Rate:10.9 | Crit DMG:6.2 | DEF:16 | EM:65,Set_15043,ATK,311,45.0,Crit DMG:34.2 | DEF:21 | ATK%:5.3 | Crit Rate:5.4,Golden Troupe,HP%,46.6,38.0,Crit Rate:6.2 | ER%:6.5 | HP:239 | Crit DMG:25.6,Set_15043,HP%,46.6,29.5,Crit Rate:9.3 | DEF:16 | DEF%:13.9 | Crit DMG:10.9,Set_15043,Crit DMG,62.2,13.2,HP%:15.7 | Crit Rate:6.6 | DEF%:11.7 | EM:23
Escoffier,90,19277,2089,769,37,136.8,87.0,194.6,Cryo,46.6,191.79999999999998,Golden Troupe,HP,4780,46.6,ATK%:4.1 | ATK:14 | Crit DMG:28 | Crit Rate:9.3,Golden Troupe,ATK,311,41.9,Crit DMG:22.5 | ATK%:10.5 | Crit Rate:9.7 | EM:21,Gladiator's Finale,ATK%,46.6,38.1,DEF:16 | Crit Rate:10.1 | Crit DMG:17.9 | ATK:18,Golden Troupe,Cryo DMG%,46.6,45.8,EM:16 | Crit DMG:14 | HP%:5.3 | Crit Rate:15.9,Golden Troupe,Crit DMG,62.2,19.4,Crit Rate:9.7 | DEF:21 | HP:448 | ATK%:9.9
Arlecchino,90,18630,2487,804,42,100.0,57.8,217.4,Pyro,46.6,128.3,Marechaussee Hunter,HP,4780,30.3,ATK:16 | Crit Rate:5.8 | Crit DMG:18.7 | ATK%:17.5,Marechaussee Hunter,ATK,311,34.2,Crit DMG:13.2 | ATK%:11.7 | Crit Rate:10.5 | DEF:21,Thundersoother,ATK%,46.6,34.2,ATK:33 | Crit Rate:3.1 | Crit DMG:28 | DEF:19,Marechaussee Hunter,Pyro DMG%,46.6,21.8,Crit Rate:7.4 | HP:747 | ATK%:11.1 | Crit DMG:7,Marechaussee Hunter,Crit DMG,62.2,7.8,EM:42 | ATK%:19.2 | ATK:33 | Crit Rate:3.9
Mavuika,90,18499,2106,968,245,100.0,47.4,242.3,Pyro,46.6,176.4,Obsidian Codex,HP,4780,31.8,Crit Rate:5.4 | Crit DMG:21 | DEF:19 | ATK%:14,Obsidian Codex,ATK,311,47.4,HP:239 | EM:21 | Crit DMG:26.4 | Crit Rate:10.5,Golden Troupe,EM,187.0,45.1,Crit Rate:9.7 | DEF:19 | ATK:19 | Crit DMG:25.7,Obsidian Codex,Pyro DMG%,46.6,31.9,Crit Rate:6.6 | Crit DMG:18.7 | HP:269 | DEF%:12.4,Obsidian Codex,Crit DMG,62.2,20.2,EM:37 | Crit Rate:10.1 | HP%:5.3 | DEF:42
Varesa,90,17479,1905,854,40,118.1,69.7,239.6,Electro,46.6,163.29999999999998,Golden Troupe,HP,4780,49.7,EM:16 | Crit DMG:23.3 | Crit Rate:13.2 | ATK%:5.3,Obsidian Codex,ATK,311,30.4,Crit DMG:14.8 | Crit Rate:7.8 | ATK%:10.5 | ER%:13,Obsidian Codex,ATK%,46.6,30.4,Crit Rate:8.6 | Crit DMG:13.2 | ATK:29 | DEF:21,Silken Moon's Serenade,Electro DMG%,46.6,41.2,ER%:5.2 | Crit DMG:21 | DEF%:6.6 | Crit Rate:10.1,Obsidian Codex,Crit DMG,62.2,11.6,Crit Rate:5.8 | ATK%:14.6 | EM:23 | ATK:33
Skirk,90,19979,2113,1023,0,100.0,49.3,248.5,Cryo,46.6,186.5,Marechaussee Hunter,HP,4780,41.2,Crit Rate:7 | Crit DMG:27.2 | DEF%:6.6 | HP%:4.1,Marechaussee Hunter,ATK,311,43.6,Crit DMG:7 | Crit Rate:18.3 | ATK%:4.1 | HP:299,Marechaussee Hunter,ATK%,46.6,38.0,Crit Rate:2.7 | Crit DMG:32.6 | DEF:23 | DEF%:12.4,Heart of Depth,Cryo DMG%,46.6,42.7,Crit DMG:31.1 | HP:239 | ATK%:5.3 | Crit Rate:5.8,Marechaussee Hunter,Crit DMG,62.2,21.0,HP%:14 | Crit Rate:10.5 | DEF%:5.1 | ATK%:11.7
Nefer,80,18197,1173,856,712,113.0,51.5,317.3,N/A,0.0,155.39999999999998,Night of the Sky's Unveiling,HP,4780,34.2,DEF:35 | EM:47 | Crit DMG:20.2 | Crit Rate:7,Scroll of the Hero of Cinder City,ATK,311,42.0,Crit DMG:26.4 | Crit Rate:7.8 | ER%:6.5 | EM:33,Night of the Sky's Unveiling,EM,187.0,35.0,Crit DMG:12.4 | HP:747 | Crit Rate:11.3 | DEF%:5.8,Night of the Sky's Unveiling,EM,187.0,38.0,Crit Rate:9.3 | Crit DMG:19.4 | HP:239 | ER%:6.5,Night of the Sky's Unveiling,Crit DMG,62.2,6.2,HP%:5.3 | DEF:35 | EM:79 | Crit Rate:3.1
Ineffa,90,17901,2236,1054,79,135.8,76.7,187.6,N/A,0.0,180.3,Emblem of Severed Fate,HP,4780,44.3,DEF%:12.4 | Crit Rate:7.4 | Crit DMG:29.5 | EM:23,Set_15043,ATK,311,42.8,EM:16 | Crit DMG:20.2 | ATK%:4.7 | Crit Rate:11.3,Silken Moon's Serenade,ATK%,46.6,40.4,Crit DMG:6.2 | DEF:21 | HP:508 | Crit Rate:17.1,Golden Troupe,ATK%,46.6,40.4,Crit Rate:10.5 | ATK:35 | ER%:5.2 | Crit DMG:19.4,Golden Troupe,Crit DMG,62.2,12.4,ATK%:13.4 | Crit Rate:6.2 | EM:40 | DEF%:12.4
Lauma,80,16664,1117,793,961,195.6,40.8,94.3,N/A,0.0,115.89999999999999,Silken Moon's Serenade,HP,4780,27.2,EM:86 | DEF%:7.3 | Crit DMG:20.2 | Crit Rate:3.5,Silken Moon's Serenade,ATK,311,20.2,Crit Rate:3.9 | DEF:21 | Crit DMG:12.4 | ER%:22,Silken Moon's Serenade,EM,187.0,13.2,HP%:4.7 | Crit Rate:6.6 | HP:478 | DEF:60,Silken Moon's Serenade,EM,187.0,28.0,ATK%:4.1 | Crit Rate:14 | HP%:10.5 | DEF%:7.3,Thundersoother,EM,187.0,27.3,Crit Rate:7.8 | ER%:11.7 | ATK%:13.4 | Crit DMG:11.7
