Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Furina,100,41475,1208,855,0,104.5,99.6,268.0,N/A,0.0,218.59999999999997,5
Arlecchino,90,17883,2406,869,21,104.5,88.5,208.1,Pyro,46.6,180.39999999999998,1
Ineffa,90,18788,2282,907,163,120.0,95.3,186.1,N/A,0.0,150.1,1
Navia,90,19005,2519,809,42,110.4,100.1,180.9,Geo,46.6,176.3,2
Clorinde,90,19020,2104,933,56,100.0,77.1,261.0,Electro,46.6,190.5,1
Columbina,90,35019,949,613,101,169.3,77.5,254.0,N/A,0.0,160.0,1
ID_10000126,90,19518,1162,2650,80,120.7,68.8,271.4,N/A,0.0,160.3,1
Skirk,90,18500,2098,1005,0,105.8,86.6,226.0,Cryo,61.6,194.4,1
Varesa,90,18345,2081,800,40,131.7,93.4,192.2,Electro,46.6,152.39999999999998,1
Mualani,90,37910,1064,610,79,112.3,59.6,275.0,Hydro,46.6,145.5,1
Chiori,90,17285,1250,2051,21,100.0,99.6,241.6,Geo,46.6,192.0,1
Escoffier,90,18829,2610,828,58,100.0,87.2,259.2,N/A,0.0,206.9,1
