Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Furina,100,41475,1208,855,0,104.5,99.6,268.0,N/A,0.0,218.59999999999997,Golden Troupe,HP,4780,40.5,Crit DMG:24.9 | HP%:11.1 | Crit Rate:7.8 | ATK:18,Golden Troupe,ATK,311,45.9,HP%:9.3 | Crit Rate:15.2 | DEF%:5.8 | Crit DMG:15.5,Golden Troupe,HP%,46.6,49.8,Crit Rate:14 | Crit DMG:21.8 | ER%:4.5 | ATK%:4.7,Golden Troupe,HP%,46.6,48.2,DEF:23 | HP:239 | Crit Rate:7.4 | Crit DMG:33.4,Golden Troupe,Crit Rate,31.1,34.2,HP%:5.8 | Crit DMG:34.2 | DEF%:5.8 | HP:478
Arlecchino,90,17883,2406,869,21,104.5,88.5,208.1,Pyro,46.6,180.39999999999998,Fragment of Harmonic Whimsy,HP,4780,40.5,ATK%:9.9 | ER%:4.5 | Crit DMG:11.7 | Crit Rate:14.4,Fragment of Harmonic Whimsy,ATK,311,28.0,Crit Rate:10.5 | Crit DMG:7 | EM:21 | ATK%:16.9,Fragment of Harmonic Whimsy,ATK%,46.6,38.1,ATK:18 | Crit Rate:10.1 | Crit DMG:17.9 | DEF:21,Scroll of the Hero of Cinder City,Pyro DMG%,46.6,46.6,ATK:19 | Crit DMG:21 | DEF:21 | Crit Rate:12.8,Fragment of Harmonic Whimsy,Crit DMG,62.2,27.2,ATK%:11.1 | Crit Rate:13.6 | DEF:23 | DEF%:5.1
Ineffa,90,18788,2282,907,163,120.0,95.3,186.1,N/A,0.0,150.1,Silken Moon's Serenade,HP,4780,37.4,HP%:4.7 | Crit Rate:12.1 | Crit DMG:13.2 | EM:21,Silken Moon's Serenade,ATK,311,32.7,ATK%:5.3 | EM:35 | Crit DMG:18.7 | Crit Rate:7,Silken Moon's Serenade,ATK%,46.6,28.0,Crit Rate:7.4 | EM:44 | HP:598 | Crit DMG:13.2,Golden Troupe,ATK%,46.6,39.6,DEF%:7.3 | Crit Rate:13.6 | Crit DMG:12.4 | HP:209,Silken Moon's Serenade,Crit Rate,31.1,12.4,DEF:19 | ATK%:11.7 | Crit DMG:12.4 | EM:63
Navia,90,19005,2519,809,42,110.4,100.1,180.9,Geo,46.6,176.3,Nighttime Whispers in the Echoing Woods,HP,4780,39.6,Crit DMG:27.2 | ATK%:5.8 | Crit Rate:6.2 | ER%:5.2,Nighttime Whispers in the Echoing Woods,ATK,311,38.8,Crit Rate:12.8 | DEF:16 | ATK%:9.9 | Crit DMG:13.2,Nighttime Whispers in the Echoing Woods,ATK%,46.6,29.5,Crit Rate:9.3 | Crit DMG:10.9 | EM:19 | HP:448,Pale Flame,Geo DMG%,46.6,48.2,Crit DMG:21 | Crit Rate:13.6 | ER%:5.2 | EM:23,Nighttime Whispers in the Echoing Woods,Crit Rate,31.1,20.2,HP%:4.7 | HP:538 | ATK%:9.9 | Crit DMG:20.2
Clorinde,90,19020,2104,933,56,100.0,77.1,261.0,Electro,46.6,190.5,Fragment of Harmonic Whimsy,HP,4780,47.4,Crit DMG:21 | ATK%:4.1 | Crit Rate:13.2 | HP%:4.1,Emblem of Severed Fate,ATK,311,45.1,ATK%:5.3 | Crit Rate:6.6 | Crit DMG:31.9 | DEF%:6.6,Fragment of Harmonic Whimsy,ATK%,46.6,31.8,HP%:5.8 | Crit DMG:12.4 | Crit Rate:9.7 | DEF:58,Fragment of Harmonic Whimsy,Electro DMG%,46.6,35.0,Crit DMG:19.4 | ATK:16 | EM:37 | Crit Rate:7.8,Fragment of Harmonic Whimsy,Crit DMG,62.2,31.2,ATK:18 | EM:19 | Crit Rate:15.6 | DEF%:5.1
Columbina,90,35019,949,613,101,169.3,77.5,254.0,N/A,0.0,160.0,Set_15043,HP,4780,28.7,Crit DMG:15.5 | ER%:13 | Crit Rate:6.6 | HP%:9.9,Set_15043,ATK,311,35.0,Crit Rate:13.6 | Crit DMG:7.8 | EM:21 | HP%:9.3,Emblem of Severed Fate,ER%,51.8,38.0,HP:269 | Crit DMG:13.2 | HP%:9.9 | Crit Rate:12.4,Set_15043,HP%,46.6,38.1,Crit Rate:10.5 | Crit DMG:17.1 | DEF%:13.1 | ER%:4.5,Set_15043,Crit DMG,62.2,20.2,HP%:15.2 | DEF%:5.8 | HP:448 | Crit Rate:10.1
ID_10000126,90,19518,1162,2650,80,120.7,68.8,271.4,N/A,0.0,160.3,Night of the Sky's Unveiling,HP,4780,36.6,ER%:11 | ATK:18 | Crit Rate:3.9 | Crit DMG:28.8,Night of the Sky's Unveiling,ATK,311,38.9,Crit Rate:7 | Crit DMG:24.9 | DEF:23 | DEF%:7.3,Night of the Sky's Unveiling,DEF%,58.3,35.0,HP:538 | HP%:4.7 | Crit Rate:7.4 | Crit DMG:20.2,Fragment of Harmonic Whimsy,DEF%,58.3,42.8,Crit Rate:14.4 | Crit DMG:14 | ATK%:4.7 | ER%:9.7,Night of the Sky's Unveiling,Crit Rate,31.1,7.0,DEF%:30.6 | HP%:5.3 | ATK%:4.1 | Crit DMG:7
Skirk,90,18500,2098,1005,0,105.8,86.6,226.0,Cryo,61.6,194.4,Finale of the Deep Galleries,HP,4780,41.2,DEF:23 | Crit Rate:13.6 | Crit DMG:14 | ATK%:10.5,Finale of the Deep Galleries,ATK,311,42.0,ATK%:9.9 | HP%:4.7 | Crit DMG:14 | Crit Rate:14,Finale of the Deep Galleries,ATK%,46.6,42.8,DEF:35 | Crit Rate:7.4 | Crit DMG:28 | ATK:19,Marechaussee Hunter,Cryo DMG%,46.6,40.4,HP%:5.8 | ER%:5.8 | Crit Rate:10.5 | Crit DMG:19.4,Finale of the Deep Galleries,Crit DMG,62.2,28.0,DEF:35 | DEF%:13.1 | Crit Rate:14 | ATK%:4.1
Varesa,90,18345,2081,800,40,131.7,93.4,192.2,Electro,46.6,152.39999999999998,Long Night's Oath,HP,4780,28.0,Crit Rate:7 | Crit DMG:14 | ER%:20.7 | ATK:14,Long Night's Oath,ATK,311,33.4,Crit Rate:7 | HP:299 | ATK%:9.9 | Crit DMG:19.4,Long Night's Oath,ATK%,46.6,35.8,Crit DMG:20.2 | Crit Rate:7.8 | ER%:11 | HP:269,Finale of the Deep Galleries,Electro DMG%,46.6,34.2,Crit DMG:26.4 | Crit Rate:3.9 | HP:299 | ATK%:8.7,Long Night's Oath,Crit DMG,62.2,21.0,EM:40 | DEF:19 | ATK%:16.9 | Crit Rate:10.5
Mualani,90,37910,1064,610,79,112.3,59.6,275.0,Hydro,46.6,145.5,Obsidian Codex,HP,4780,28.8,Crit DMG:14 | DEF:39 | Crit Rate:7.4 | HP%:15.2,Obsidian Codex,ATK,311,41.2,HP:209 | Crit DMG:28 | HP%:10.5 | Crit Rate:6.6,Obsidian Codex,HP%,46.6,39.7,EM:40 | Crit Rate:14 | HP:209 | Crit DMG:11.7,Obsidian Codex,Hydro DMG%,46.6,21.0,Crit DMG:21 | HP:508 | ATK:29 | EM:21,Long Night's Oath,Crit DMG,62.2,14.8,Crit Rate:7.4 | EM:19 | ER%:12.3 | HP%:19.8
Chiori,90,17285,1250,2051,21,100.0,99.6,241.6,Geo,46.6,192.0,Golden Troupe,HP,4780,31.1,Crit DMG:11.7 | ATK:16 | Crit Rate:9.7 | DEF%:20.4,Golden Troupe,ATK,311,45.9,Crit DMG:18.7 | HP%:5.3 | DEF%:7.3 | Crit Rate:13.6,Golden Troupe,DEF%,58.3,42.8,Crit DMG:13.2 | ATK%:5.3 | Crit Rate:14.8 | ATK:14,Golden Troupe,Geo DMG%,46.6,38.0,HP%:4.1 | Crit Rate:6.2 | Crit DMG:25.6 | DEF:16,Scroll of the Hero of Cinder City,Crit Rate,31.1,34.2,DEF%:5.8 | DEF:16 | Crit DMG:34.2 | EM:21
Escoffier,90,18829,2610,828,58,100.0,87.2,259.2,N/A,0.0,206.9,Golden Troupe,HP,4780,36.6,ATK%:14.6 | ATK:18 | Crit DMG:13.2 | Crit Rate:11.7,Long Night's Oath,ATK,311,47.5,EM:21 | Crit Rate:14.4 | Crit DMG:18.7 | ATK%:5.3,Golden Troupe,ATK%,46.6,41.9,Crit Rate:5.8 | ATK:14 | Crit DMG:30.3 | DEF%:13.1,Golden Troupe,ATK%,46.6,45.9,EM:21 | ATK:14 | Crit Rate:13.6 | Crit DMG:18.7,Golden Troupe,Crit DMG,62.2,35.0,ATK%:11.1 | HP%:5.3 | EM:16 | Crit Rate:17.5
