Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Furina,95,33208,1180,757,0,106.5,96.1,285.1,Hydro,46.6,228.8,Golden Troupe,HP,4780,42.8,HP%:10.5 | Crit DMG:19.4 | ATK%:4.7 | Crit Rate:11.7,Golden Troupe,ATK,311,51.4,Crit DMG:28.8 | Crit Rate:11.3 | HP%:4.1 | HP:269,Golden Troupe,HP%,46.6,51.4,Crit DMG:28.8 | DEF:21 | HP:209 | Crit Rate:11.3,Golden Troupe,Hydro DMG%,46.6,41.2,Crit Rate:6.6 | Crit DMG:28 | DEF:16 | HP%:9.3,Night of the Sky's Unveiling,Crit Rate,31.1,42.0,ATK:18 | HP%:5.8 | Crit DMG:42 | ER%:6.5
Skirk,90,18501,2650,869,37,111.7,41.2,253.9,N/A,0.0,175.5,Marechaussee Hunter,HP,4780,33.4,Crit DMG:26.4 | ATK:14 | Crit Rate:3.5 | ATK%:13.4,Marechaussee Hunter,ATK,311,43.4,EM:16 | Crit Rate:8.9 | Crit DMG:25.6 | DEF:21,Gladiator's Finale,ATK%,46.6,37.3,DEF:23 | ER%:11.7 | Crit Rate:3.1 | Crit DMG:31.1,Marechaussee Hunter,ATK%,46.6,38.0,EM:21 | Crit DMG:20.2 | Crit Rate:8.9 | ATK:33,Marechaussee Hunter,Crit DMG,62.2,23.4,ATK%:14 | DEF:19 | Crit Rate:11.7 | HP%:10.5
Escoffier,90,18128,2300,841,0,164.6,72.6,197.7,Cryo,46.6,166.29999999999998,Golden Troupe,HP,4780,41.2,ATK%:9.3 | DEF:16 | Crit Rate:10.9 | Crit DMG:19.4,Crimson Witch of Flames,ATK,311,32.7,DEF%:5.1 | Crit DMG:24.9 | Crit Rate:3.9 | ATK%:14,Golden Troupe,ATK%,46.6,39.6,Crit DMG:13.2 | DEF%:5.1 | ER%:12.3 | Crit Rate:13.2,Golden Troupe,Cryo DMG%,46.6,41.2,ER%:10.4 | ATK:16 | Crit Rate:6.6 | Crit DMG:28,Golden Troupe,Crit DMG,62.2,11.6,ER%:5.2 | ATK%:23.3 | Crit Rate:5.8 | DEF:19
Citlali,90,19958,1174,808,1393,116.8,22.9,95.8,N/A,0.0,81.4,Set_15026,HP,4780,5.4,EM:84 | ATK:31 | Crit DMG:5.4 | ATK%:5.3,Golden Troupe,ATK,311,17.8,Crit Rate:5.4 | ER%:6.5 | Crit DMG:7 | EM:110,Thundersoother,EM,187.0,38.8,HP:269 | Crit Rate:2.7 | Crit DMG:33.4 | DEF%:5.8,Set_15026,EM,187.0,7.0,HP%:13.4 | ATK%:19.2 | ER%:5.2 | Crit Rate:3.5,Thundersoother,EM,187.0,12.4,ER%:5.2 | HP:1105 | Crit Rate:6.2 | HP%:5.3
Hu Tao,90,33619,1690,961,142,111.7,74.2,241.6,Pyro,61.6,163.3,Crimson Witch of Flames,HP,4780,43.6,Crit DMG:21.8 | EM:23 | Crit Rate:10.9 | ER%:11.7,Crimson Witch of Flames,ATK,311,41.2,Crit Rate:10.5 | EM:40 | Crit DMG:20.2 | HP:299,Crimson Witch of Flames,HP%,46.6,45.1,DEF%:7.3 | ATK:14 | Crit DMG:31.1 | Crit Rate:7,Golden Troupe,Pyro DMG%,46.6,33.4,Crit DMG:14 | EM:40 | ATK:18 | Crit Rate:9.7,Crimson Witch of Flames,Crit Rate,31.1,0.0,HP%:16.9 | EM:40 | DEF:21 | ATK%:13.4
Nahida,90,15140,1196,743,616,169.1,47.4,173.6,Dendro,15.0,146.2,Deepwood Memories,HP,4780,38.8,ATK:19 | Crit Rate:13.2 | Crit DMG:12.4 | ER%:5.2,Deepwood Memories,ATK,311,25.7,Crit Rate:3.5 | DEF%:5.1 | EM:68 | Crit DMG:18.7,Deepwood Memories,EM,187.0,23.3,ER%:22 | DEF%:10.2 | Crit Rate:3.9 | Crit DMG:15.5,Golden Troupe,EM,187.0,35.8,Crit DMG:14.8 | ATK%:4.1 | ATK:49 | Crit Rate:10.5,Deepwood Memories,Crit DMG,62.2,22.6,Crit Rate:11.3 | EM:61 | DEF:16 | ATK%:5.3
Nefer,90,19236,1283,938,623,106.5,51.7,271.8,N/A,0.0,159.5,Night of the Sky's Unveiling,HP,4780,36.6,Crit Rate:14.4 | EM:35 | Crit DMG:7.8 | ATK:19,Night of the Sky's Unveiling,ATK,311,33.5,Crit DMG:17.9 | HP:568 | DEF%:5.8 | Crit Rate:7.8,Night of the Sky's Unveiling,EM,187.0,36.5,Crit Rate:5.8 | Crit DMG:24.9 | ATK:14 | ATK%:9.9,Lavawalker's Epiphany,EM,187.0,38.1,ER%:6.5 | DEF:37 | Crit DMG:15.5 | Crit Rate:11.3,Night of the Sky's Unveiling,Crit DMG,62.2,14.8,Crit Rate:7.4 | EM:35 | HP%:9.3 | DEF:56
Lauma,90,16232,1283,846,1043,228.1,16.3,83.4,N/A,0.0,56.0,Silken Moon's Serenade,HP,4780,0.0,EM:91 | ATK:16 | ER%:9.7 | DEF%:5.1,Silken Moon's Serenade,ATK,311,12.4,Crit DMG:12.4 | ER%:9.7 | DEF:16 | EM:77,Silken Moon's Serenade,EM,187.0,36.6,ER%:11.7 | HP%:5.3 | Crit Rate:7.8 | Crit DMG:21,Silken Moon's Serenade,EM,187.0,0.0,ER%:22 | ATK%:5.8 | HP:239 | DEF%:13.1,Silken Moon's Serenade,EM,187.0,7.0,ATK%:19.2 | DEF:39 | Crit Rate:3.5 | ER%:9.1
Varesa,90,19067,2453,957,19,106.5,83.3,192.0,Electro,46.6,153.9,Long Night's Oath,HP,4780,43.6,DEF%:12.4 | DEF:19 | Crit Rate:10.9 | Crit DMG:21.8,Long Night's Oath,ATK,311,30.3,DEF:19 | Crit Rate:6.6 | ATK%:14 | Crit DMG:17.1,Silken Moon's Serenade,ATK%,46.6,42.7,Crit Rate:7 | Crit DMG:28.7 | ER%:6.5 | EM:19,Long Night's Oath,Electro DMG%,46.6,26.4,Crit Rate:3.5 | Crit DMG:19.4 | ATK%:10.5 | HP:478,Long Night's Oath,Crit Rate,31.1,10.9,ATK%:8.7 | DEF:42 | HP%:8.7 | Crit DMG:10.9
Columbina,90,36966,951,533,212,190.6,57.6,214.0,N/A,0.0,168.5,Pale Flame,HP,4780,33.4,EM:61 | Crit Rate:3.5 | Crit DMG:26.4 | HP%:5.8,Silken Moon's Serenade,ATK,311,22.5,EM:54 | ER%:9.7 | DEF:19 | Crit DMG:22.5,Silken Moon's Serenade,ER%,51.8,46.6,EM:19 | Crit DMG:26.4 | Crit Rate:10.1 | ATK:19,Marechaussee Hunter,HP%,46.6,45.8,Crit DMG:26.4 | Crit Rate:9.7 | EM:19 | ATK:16,Pale Flame,Crit DMG,62.2,20.2,EM:61 | HP%:5.3 | ER%:9.1 | Crit Rate:10.1
Ineffa,90,18055,2392,1034,72,131.0,85.5,199.2,N/A,0.0,165.59999999999997,Silken Moon's Serenade,HP,4780,20.2,EM:72 | Crit DMG:14 | ATK%:4.7 | Crit Rate:3.1,Silken Moon's Serenade,ATK,311,47.4,Crit Rate:10.5 | HP%:5.3 | DEF:16 | Crit DMG:26.4,Silken Moon's Serenade,ATK%,46.6,39.6,Crit DMG:26.4 | Crit Rate:6.6 | DEF%:12.4 | ATK:18,Golden Troupe,ATK%,46.6,34.2,ER%:11 | DEF:39 | Crit Rate:7 | Crit DMG:20.2,Silken Moon's Serenade,Crit DMG,62.2,24.2,DEF%:5.8 | ATK:29 | ATK%:4.7 | Crit Rate:12.1
