Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Furina,95,33208,1180,757,0,106.5,96.1,285.1,Hydro,46.6,228.8,5
Skirk,90,18501,2650,869,37,111.7,41.2,253.9,N/A,0.0,175.5,5
Escoffier,90,18128,2300,841,0,164.6,72.6,197.7,Cryo,46.6,166.29999999999998,1
Citlali,90,19958,1174,808,1393,116.8,22.9,95.8,N/A,0.0,81.4,1
Hu Tao,90,33619,1690,961,142,111.7,74.2,241.6,Pyro,61.6,163.3,1
Nahida,90,15140,1196,743,616,169.1,47.4,173.6,Dendro,15.0,146.2,5
Nefer,90,19236,1283,938,623,106.5,51.7,271.8,N/A,0.0,159.5,1
Lauma,90,16232,1283,846,1043,228.1,16.3,83.4,N/A,0.0,56.0,5
Varesa,90,19067,2453,957,19,106.5,83.3,192.0,Electro,46.6,153.9,1
Columbina,90,36966,951,533,212,190.6,57.6,214.0,N/A,0.0,168.5,5
Ineffa,90,18055,2392,1034,72,131.0,85.5,199.2,N/A,0.0,165.59999999999997,1
ID_10000007,90,19418,1442,947,71,255.1,44.7,97.4,Pyro,46.6,64.4,5
