Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Keqing,100,19767,2419,906,0,104.5,72.3,249.1,Pyro,48.0,189.00000000000003,5
Clorinde,100,19595,2455,840,56,125.9,69.3,283.3,Electro,46.6,177.29999999999998,5
Nahida,90,15708,1336,630,622,113.0,71.5,149.5,Dendro,61.6,170.00000000000003,1
Kamisato Ayaka,95,18095,2220,853,16,128.5,50.1,272.4,Pyro,24.0,167.8,1
Yelan,95,35615,1142,602,96,129.1,83.7,278.9,Hydro,61.6,197.5,5
Ganyu,95,15811,2392,687,141,111.0,57.1,235.3,Cryo,46.6,188.7,2
Mavuika,100,18851,2139,887,284,100.0,56.5,232.2,Pyro,46.6,162.4,1
Raiden Shogun,90,18918,2905,891,40,235.6,81.6,154.1,Electro,108.5,195.1,1
Columbina,90,38833,957,560,0,141.4,70.5,261.0,N/A,0.0,160.6,2
Nefer,90,18271,1197,1023,719,119.4,49.2,322.7,N/A,0.0,156.20000000000002,1
Flins,90,18655,2675,856,194,160.3,54.4,218.2,N/A,0.0,166.29999999999998,1
ID_10000126,81,18646,1083,2545,120,105.2,52.8,308.0,N/A,0.0,164.9,1
