Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Keqing,100,19767,2419,906,0,104.5,72.3,249.1,Pyro,48.0,189.00000000000003,Brave Heart,HP,4780,42.0,ATK%:11.1 | HP%:4.7 | Crit DMG:19.4 | Crit Rate:11.3,Brave Heart,ATK,311,48.2,DEF%:5.8 | ATK%:5.3 | Crit Rate:14.4 | Crit DMG:19.4,Brave Heart,ATK%,46.6,41.2,Crit Rate:16.7 | Crit DMG:7.8 | ER%:4.5 | ATK:37,Tenacity of the Millelith,Electro DMG%,46.6,28.8,ATK:18 | Crit DMG:7.8 | Crit Rate:10.5 | ATK%:16.9,Brave Heart,Crit DMG,62.2,28.8,HP:299 | Crit Rate:14.4 | ATK%:10.5 | ATK:18
Clorinde,100,19595,2455,840,56,125.9,69.3,283.3,Electro,46.6,177.29999999999998,Fragment of Harmonic Whimsy,HP,4780,38.1,Crit Rate:11.3 | ER%:9.7 | Crit DMG:15.5 | ATK:31,Fragment of Harmonic Whimsy,ATK,311,37.3,Crit Rate:9.7 | ATK%:5.8 | HP:209 | Crit DMG:17.9,Fragment of Harmonic Whimsy,ATK%,46.6,42.8,Crit DMG:28 | ER%:5.2 | Crit Rate:7.4 | EM:40,Crimson Witch of Flames,Electro DMG%,46.6,38.9,EM:16 | Crit DMG:25.7 | ATK%:8.7 | Crit Rate:6.6,Fragment of Harmonic Whimsy,Crit DMG,62.2,20.2,HP%:5.3 | ER%:11 | ATK%:15.2 | Crit Rate:10.1
Nahida,90,15708,1336,630,622,113.0,71.5,149.5,Dendro,61.6,170.00000000000003,Deepwood Memories,HP,4780,38.9,ER%:6.5 | Crit Rate:10.5 | Crit DMG:17.9 | ATK:14,Deepwood Memories,ATK,311,38.0,Crit DMG:12.4 | Crit Rate:12.8 | ER%:6.5 | EM:16,Deepwood Memories,EM,187.0,31.0,Crit Rate:5.8 | Crit DMG:19.4 | ATK:29 | HP:269,Scroll of the Hero of Cinder City,Dendro DMG%,46.6,35.7,Crit DMG:23.3 | Crit Rate:6.2 | EM:40 | ATK:33,Deepwood Memories,Crit Rate,31.1,26.4,ATK%:11.1 | HP:299 | Crit DMG:26.4 | ATK:16
Kamisato Ayaka,95,18095,2220,853,16,128.5,50.1,272.4,Pyro,24.0,167.8,Marechaussee Hunter,HP,4780,41.2,Crit Rate:10.1 | Crit DMG:21 | ATK%:9.9 | ATK:16,Marechaussee Hunter,ATK,311,39.6,Crit Rate:8.9 | EM:16 | Crit DMG:21.8 | ATK%:8.7,Marechaussee Hunter,ATK%,46.6,33.4,ER%:11.7 | ATK:18 | Crit DMG:14.8 | Crit Rate:9.3,Fragment of Harmonic Whimsy,Cryo DMG%,46.6,39.6,Crit Rate:9.7 | ATK:16 | ER%:5.8 | Crit DMG:20.2,Marechaussee Hunter,Crit DMG,62.2,14.0,ATK%:11.1 | DEF:42 | ER%:11 | Crit Rate:7
Yelan,95,35615,1142,602,96,129.1,83.7,278.9,Hydro,61.6,197.5,Thundersoother,HP,4780,40.4,Crit Rate:13.2 | DEF:19 | HP%:9.9 | Crit DMG:14,Tenacity of the Millelith,ATK,311,44.3,Crit DMG:29.5 | Crit Rate:7.4 | ER%:12.3 | DEF:16,Tenacity of the Millelith,HP%,46.6,45.2,Crit DMG:14.8 | HP:209 | ER%:5.2 | Crit Rate:15.2,Obsidian Codex,Hydro DMG%,46.6,38.8,Crit Rate:9.3 | Crit DMG:20.2 | ER%:11.7 | HP:239,Thundersoother,Crit DMG,62.2,28.8,ATK:18 | EM:16 | Crit Rate:14.4 | HP%:14.6
Ganyu,95,15811,2392,687,141,111.0,57.1,235.3,Cryo,46.6,188.7,Thundersoother,HP,4780,39.6,Crit DMG:21.8 | Crit Rate:8.9 | ER%:6.5 | DEF:19,Thundersoother,ATK,311,38.0,ATK%:5.3 | Crit Rate:16.3 | Crit DMG:5.4 | EM:44,Thundersoother,ATK%,46.6,45.8,Crit Rate:9.3 | ER%:4.5 | Crit DMG:27.2 | DEF:16,Maiden Beloved,Cryo DMG%,46.6,42.7,EM:16 | Crit DMG:30.3 | ATK:19 | Crit Rate:6.2,Thundersoother,Crit DMG,62.2,22.6,Crit Rate:11.3 | ATK:29 | ATK%:5.8 | HP%:8.7
Mavuika,100,18851,2139,887,284,100.0,56.5,232.2,Pyro,46.6,162.4,Obsidian Codex,HP,4780,31.8,ATK%:9.3 | Crit Rate:6.2 | Crit DMG:19.4 | EM:40,Obsidian Codex,ATK,311,42.0,ATK%:11.1 | DEF:16 | Crit Rate:10.1 | Crit DMG:21.8,Brave Heart,EM,187.0,39.6,Crit Rate:2.7 | ATK%:9.9 | Crit DMG:34.2 | HP%:4.7,Obsidian Codex,Pyro DMG%,46.6,33.4,DEF:23 | ATK%:16.3 | Crit DMG:6.2 | Crit Rate:13.6,Obsidian Codex,Crit DMG,62.2,15.6,EM:58 | ATK:29 | ATK%:5.8 | Crit Rate:7.8
Raiden Shogun,90,18918,2905,891,40,235.6,81.6,154.1,Electro,108.5,195.1,Emblem of Severed Fate,HP,4780,40.4,DEF:21 | ER%:11.7 | Crit Rate:13.6 | Crit DMG:13.2,Emblem of Severed Fate,ATK,311,47.4,DEF:23 | ER%:6.5 | Crit DMG:19.4 | Crit Rate:14,Emblem of Severed Fate,ATK%,46.6,39.7,Crit DMG:24.1 | EM:23 | DEF%:7.3 | Crit Rate:7.8,Obsidian Codex,ATK%,46.6,40.4,ER%:10.4 | HP%:5.8 | Crit DMG:20.2 | Crit Rate:10.1,Emblem of Severed Fate,Crit Rate,31.1,27.2,EM:16 | HP:478 | Crit DMG:27.2 | ATK%:5.3
Columbina,90,38833,957,560,0,141.4,70.5,261.0,N/A,0.0,160.6,Silken Moon's Serenade,HP,4780,33.4,ATK:19 | Crit Rate:12.8 | ATK%:9.9 | Crit DMG:7.8,Silken Moon's Serenade,ATK,311,30.3,Crit Rate:5.8 | HP:508 | HP%:9.9 | Crit DMG:18.7,Thundering Fury,HP%,46.6,40.3,Crit Rate:5.8 | ER%:11.7 | Crit DMG:28.7 | DEF%:5.1,Silken Moon's Serenade,HP%,46.6,38.0,DEF:19 | HP:269 | Crit Rate:12.4 | Crit DMG:13.2,Silken Moon's Serenade,Crit DMG,62.2,18.6,ER%:9.7 | HP%:9.9 | Crit Rate:9.3 | HP:209
Nefer,90,18271,1197,1023,719,119.4,49.2,322.7,N/A,0.0,156.20000000000002,Maiden Beloved,HP,4780,41.2,ER%:4.5 | EM:42 | Crit Rate:10.1 | Crit DMG:21,Night of the Sky's Unveiling,ATK,311,41.1,Crit DMG:23.3 | EM:40 | Crit Rate:8.9 | HP:269,Night of the Sky's Unveiling,EM,187.0,37.4,HP%:4.1 | Crit DMG:21.8 | DEF%:20.4 | Crit Rate:7.8,Night of the Sky's Unveiling,EM,187.0,31.1,Crit DMG:17.9 | Crit Rate:6.6 | ER%:10.4 | DEF:19,Night of the Sky's Unveiling,Crit DMG,62.2,5.4,EM:84 | DEF:42 | Crit Rate:2.7 | ER%:4.5
