Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Keqing,100,22977,2571,895,219,106.5,85.7,240.0,Electro,61.6,162.60000000000002,2
Furina,100,43601,1167,837,0,104.5,97.3,261.0,N/A,0.0,206.7,5
Skirk,90,19442,1994,868,58,111.7,80.3,229.1,Cryo,61.6,184.89999999999998,1
Columbina,100,32475,1077,634,199,181.6,86.0,179.4,N/A,0.0,102.4,1
Citlali,90,20533,1050,1220,932,211.4,5.0,86.5,N/A,0.0,36.6,1
Kamisato Ayaka,90,17638,2055,918,21,116.8,77.3,226.5,Pyro,48.0,176.49999999999997,5
Nahida,90,15623,1264,692,792,105.2,71.1,135.5,Dendro,61.6,155.3,1
Raiden Shogun,90,18891,2475,789,37,284.8,76.2,150.2,Electro,194.5,180.5,1
Escoffier,90,22142,2105,865,19,142.9,75.1,142.5,Cryo,46.6,132.1,5
Yae Miko,90,15391,1864,644,82,104.5,95.7,194.5,Electro,46.6,170.2,5
Klee,90,16024,1748,651,35,110.4,63.3,125.4,Pyro,90.4,136.79999999999998,5
Shenhe,90,20057,3643,933,47,203.5,40.3,88.1,N/A,0.0,88.4,2
