Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Keqing,100,22977,2571,895,219,106.5,85.7,240.0,Electro,61.6,162.60000000000002,Thundering Fury,HP,4780,34.2,Crit Rate:3.9 | Crit DMG:26.4 | EM:63 | ATK%:5.3,Thundering Fury,ATK,311,26.5,Crit DMG:18.7 | Crit Rate:3.9 | HP%:4.7 | EM:72,Marechaussee Hunter,ATK%,46.6,49.0,DEF:16 | Crit DMG:26.4 | Crit Rate:11.3 | EM:19,Thundering Fury,Electro DMG%,46.6,38.1,Crit DMG:17.9 | Crit Rate:10.1 | EM:23 | ER%:6.5,Thundering Fury,Crit DMG,62.2,14.8,EM:42 | ATK%:15.7 | DEF:23 | Crit Rate:7.4
Furina,100,43601,1167,837,0,104.5,97.3,261.0,N/A,0.0,206.7,Golden Troupe,HP,4780,42.7,Crit Rate:6.6 | Crit DMG:29.5 | DEF%:5.1 | HP%:11.1,Emblem of Severed Fate,ATK,311,35.0,Crit Rate:10.9 | Crit DMG:13.2 | HP:299 | HP%:16.3,Golden Troupe,HP%,46.6,51.3,DEF%:5.1 | HP:239 | Crit DMG:30.3 | Crit Rate:10.5,Golden Troupe,HP%,46.6,50.5,HP:299 | Crit Rate:14 | ATK:16 | Crit DMG:22.5,Golden Troupe,Crit Rate,31.1,27.2,Crit DMG:27.2 | DEF:16 | ER%:4.5 | HP%:11.1
Skirk,90,19442,1994,868,58,111.7,80.3,229.1,Cryo,61.6,184.89999999999998,Finale of the Deep Galleries,HP,4780,41.9,Crit Rate:6.2 | Crit DMG:29.5 | ER%:11.7 | HP%:4.7,Finale of the Deep Galleries,ATK,311,37.2,Crit DMG:19.4 | ATK%:5.3 | HP:508 | Crit Rate:8.9,Finale of the Deep Galleries,ATK%,46.6,44.4,Crit Rate:18.3 | Crit DMG:7.8 | DEF%:5.1 | EM:35,Scroll of the Hero of Cinder City,Cryo DMG%,46.6,41.2,DEF:21 | EM:23 | Crit Rate:9.7 | Crit DMG:21.8,Finale of the Deep Galleries,Crit DMG,62.2,20.2,ATK%:9.3 | Crit Rate:10.1 | ATK:18 | HP%:9.3
Columbina,100,32475,1077,634,199,181.6,86.0,179.4,N/A,0.0,102.4,Set_15043,HP,4780,30.2,Crit Rate:8.9 | DEF%:11.7 | Crit DMG:12.4 | EM:21,Set_15043,ATK,311,6.2,ER%:24.6 | Crit Rate:3.1 | HP:269 | HP%:11.7,Set_15043,ER%,51.8,33.4,ATK:35 | Crit DMG:14 | DEF:19 | Crit Rate:9.7,Golden Troupe,HP%,46.6,32.6,Crit Rate:8.9 | Crit DMG:14.8 | EM:63 | HP:209,Set_15043,Crit Rate,31.1,0,ATK:72 | ER%:5.2 | HP%:4.7 | EM:35
Citlali,90,20533,1050,1220,932,211.4,5.0,86.5,N/A,0.0,36.6,Scroll of the Hero of Cinder City,HP,4780,0.0,DEF:19 | EM:37 | HP%:15.7 | ER%:16.2,Scroll of the Hero of Cinder City,ATK,311,21.0,Crit DMG:21 | DEF:21 | DEF%:5.1 | ER%:21.4,Scroll of the Hero of Cinder City,ER%,51.8,7.8,HP:209 | DEF%:25.5 | Crit DMG:7.8 | EM:42,Blizzard Strayer,EM,187.0,0.0,ATK%:10.5 | ER%:10.4 | HP:448 | HP%:9.9,Scroll of the Hero of Cinder City,EM,187,7.8,Crit DMG:7.8 | ER%:11.7 | HP:478 | DEF%:24.1
Kamisato Ayaka,90,17638,2055,918,21,116.8,77.3,226.5,Pyro,48.0,176.49999999999997,Finale of the Deep Galleries,HP,4780,39.6,DEF:21 | DEF%:7.3 | Crit Rate:9.7 | Crit DMG:20.2,Finale of the Deep Galleries,ATK,311,33.5,Crit Rate:10.9 | Crit DMG:11.7 | ATK%:9.9 | EM:21,Blizzard Strayer,ATK%,46.6,37.3,ER%:11 | Crit Rate:9.7 | Crit DMG:17.9 | ATK:19,Blizzard Strayer,Cryo DMG%,46.6,40.5,Crit DMG:18.7 | ATK:16 | Crit Rate:10.9 | DEF%:5.1,Marechaussee Hunter,Crit Rate,31.1,25.6,Crit DMG:25.6 | DEF:16 | ER%:5.8 | ATK%:11.7
Nahida,90,15623,1264,692,792,105.2,71.1,135.5,Dendro,61.6,155.3,Deepwood Memories,HP,4780,24.1,Crit DMG:11.7 | Crit Rate:6.2 | DEF%:7.3 | EM:82,Deepwood Memories,ATK,311,41.2,Crit Rate:9.7 | Crit DMG:21.8 | EM:42 | ER%:5.2,Deepwood Memories,EM,187.0,31.8,ATK%:4.1 | Crit DMG:20.2 | ATK:39 | Crit Rate:5.8,Golden Troupe,Dendro DMG%,46.6,38.8,DEF:16 | Crit Rate:13.2 | EM:40 | Crit DMG:12.4,Deepwood Memories,Crit Rate,31.1,19.4,ATK%:4.7 | EM:63 | HP%:4.7 | Crit DMG:19.4
Raiden Shogun,90,18891,2475,789,37,284.8,76.2,150.2,Electro,194.5,180.5,Emblem of Severed Fate,HP,4780,42.8,Crit Rate:14 | HP%:4.1 | ATK:37 | Crit DMG:14.8,Emblem of Severed Fate,ATK,311,27.2,ATK%:10.5 | Crit Rate:7 | ER%:14.9 | Crit DMG:13.2,Emblem of Severed Fate,ER%,51.8,41.2,Crit Rate:7.4 | HP%:5.3 | Crit DMG:26.4 | ATK:35,Emblem of Severed Fate,Electro DMG%,46.6,38.2,Crit DMG:14.8 | Crit Rate:11.7 | EM:37 | ER%:5.2,Marechaussee Hunter,Crit Rate,31.1,31.1,ATK:19 | ER%:5.8 | Crit DMG:31.1 | ATK%:5.3
Escoffier,90,22142,2105,865,19,142.9,75.1,142.5,Cryo,46.6,132.1,Pale Flame,HP,4780,22.6,ATK:27 | Crit Rate:7.8 | ATK%:16.3 | Crit DMG:7,Pale Flame,ATK,311,31.1,Crit Rate:9.7 | HP:568 | ATK%:9.3 | Crit DMG:11.7,Pale Flame,ATK%,46.6,26.4,DEF%:18.2 | EM:19 | Crit DMG:6.2 | Crit Rate:10.1,Thundering Fury,Cryo DMG%,46.6,34.2,Crit DMG:5.4 | HP:538 | Crit Rate:14.4 | ATK%:5.8,Pale Flame,Crit DMG,62.2,17.8,ATK%:15.7 | HP:239 | Crit Rate:8.9 | ER%:12.3
Yae Miko,90,15391,1864,644,82,104.5,95.7,194.5,Electro,46.6,170.2,Golden Troupe,HP,4780,29.6,Crit DMG:13.2 | Crit Rate:8.2 | ATK%:15.7 | ATK:18,Golden Troupe,ATK,311,39.6,Crit DMG:14 | EM:23 | Crit Rate:12.8 | ER%:4.5,Golden Troupe,ATK%,46.6,32.7,DEF:23 | EM:58 | Crit DMG:18.7 | Crit Rate:7,Scroll of the Hero of Cinder City,Electro DMG%,46.6,45.8,Crit Rate:12.4 | ATK:14 | Crit DMG:21 | HP:239,Golden Troupe,Crit Rate,31.1,22.5,Crit DMG:22.5 | DEF%:5.8 | DEF:19 | ATK%:16.9
