Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Keqing,100,20778,2295,856,40,100.0,70.7,261.5,Pyro,48.0,198.3,5
Xilonen,90,19229,1362,4199,44,150.5,17.4,77.2,N/A,0.0,52.0,1
Furina,90,34897,1097,852,89,157.6,77.1,261.0,N/A,0.0,166.39999999999998,1
Durin,90,19107,3358,864,33,154.4,31.4,94.6,N/A,0.0,59.0,5
Ineffa,90,18140,2762,849,68,116.8,74.4,259.9,N/A,0.0,181.8,1
Nahida,90,16345,1392,630,681,125.3,50.9,190.7,Dendro,61.6,170.20000000000002,1
Fischl,90,14268,1934,642,165,105.2,73.4,152.6,Electro,46.6,177.20000000000002,5
Chevreuse,80,40205,1006,615,37,153.8,12.0,85.0,N/A,0.0,49.0,5
Yelan,90,32126,1108,671,21,173.6,84.1,158.8,Hydro,61.6,166.2,5
Columbina,90,37680,944,557,80,142.7,98.7,181.3,N/A,0.0,144.39999999999998,5
Diluc,90,18298,2003,1024,0,105.8,76.0,187.6,Electro,46.6,145.5,5
Klee,80,15391,1833,669,47,100.0,69.2,206.3,Pyro,68.2,156.2,2
