Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Keqing,90,19241,2265,799,0,113.0,82.0,236.6,Pyro,48.0,196.0,5
Citlali,90,19432,1104,993,1186,138.9,20.9,64.0,N/A,0.0,45.8,1
ID_10000007,90,16780,1439,832,246,235.1,24.0,116.8,Dendro,61.6,104.8,5
Nilou,90,49797,1536,752,190,130.4,17.4,130.0,N/A,0.0,104.9,1
Fischl,90,15139,1799,645,247,109.7,68.8,158.8,Electro,61.6,174.09999999999997,5
Ganyu,90,16119,1709,789,103,267.4,21.3,186.3,N/A,0.0,68.4,5
Raiden Shogun,90,20150,1438,887,0,292.5,57.9,120.7,Electro,200.6,114.1,5
Hu Tao,90,33252,889,916,328,110.4,67.6,173.1,Pyro,61.6,147.7,2
Nahida,90,15563,1176,768,843,110.4,40.8,154.9,Dendro,46.6,114.10000000000001,5
Shenhe,90,21720,2944,846,58,195.8,38.1,113.7,Pyro,24.0,129.79999999999998,1
Furina,90,33470,1449,769,40,173.6,82.5,119.2,N/A,0.0,123.5,5
Yoimiya,40,4086,904,247,0,100.0,5.0,50.0,N/A,0.0,0.0,1
