Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Jean,90,20754,1607,815,0,212.3,40.8,165.8,Anemo,15.0,124.99999999999999,5
Hu Tao,90,27150,1509,929,226,106.5,75.8,270.4,Pyro,61.6,195.0,1
Skirk,90,19513,2212,841,0,120.1,76.8,216.7,Cryo,61.6,165.70000000000002,1
Kaedehara Kazuha,90,22466,1346,1050,1036,278.3,11.6,62.4,Anemo,15.0,25.6,5
Citlali,90,16648,925,952,952,183.9,17.3,72.4,N/A,0.0,46.9,1
Xilonen,90,18966,1311,3742,42,215.9,17.4,72.5,N/A,0.0,47.3,1
Xiao,90,20571,2425,951,0,153.1,63.5,249.8,Anemo,46.6,150.10000000000002,1
Mavuika,90,17541,2150,844,210,106.5,60.0,222.8,Pyro,46.6,160.1,1
Wanderer,90,15776,2147,649,0,138.2,80.6,209.9,Anemo,46.6,166.2,1
Columbina,90,40775,855,609,16,205.3,74.0,165.8,N/A,0.0,153.09999999999997,5
Ineffa,90,18643,2241,828,253,138.1,90.7,224.2,N/A,0.0,178.8,1
Neuvillette,90,40386,1096,613,0,122.7,42.3,309.5,Hydro,46.6,207.5,1
