Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Jean,90,20754,1607,815,0,212.3,40.8,165.8,Anemo,15.0,124.99999999999999,Viridescent Venerer,HP,4780,33.4,Crit Rate:10.1 | ER%:10.4 | ATK%:5.3 | Crit DMG:13.2,Viridescent Venerer,ATK,311,20.2,ATK%:19.8 | DEF:23 | Crit Rate:3.5 | Crit DMG:13.2,Viridescent Venerer,ATK%,46.6,21.0,Crit Rate:7 | HP:209 | Crit DMG:7 | ER%:21.4,Golden Troupe,ATK%,46.6,25.6,HP%:5.3 | Crit DMG:20.2 | Crit Rate:2.7 | ER%:17.5,Viridescent Venerer,Crit DMG,62.2,24.8,ER%:11 | Crit Rate:12.4 | HP:299 | DEF:23
Hu Tao,90,27150,1509,929,226,106.5,75.8,270.4,Pyro,61.6,195.0,Crimson Witch of Flames,HP,4780,38.8,DEF:19 | EM:40 | Crit Rate:13.2 | Crit DMG:12.4,Crimson Witch of Flames,ATK,311,45.8,ATK%:4.7 | DEF:16 | Crit Rate:19.4 | Crit DMG:7,Crimson Witch of Flames,EM,187.0,35.8,HP%:9.3 | ER%:6.5 | Crit DMG:14 | Crit Rate:10.9,Tenacity of the Millelith,Pyro DMG%,46.6,40.4,Crit Rate:10.1 | DEF:19 | HP:508 | Crit DMG:20.2,Crimson Witch of Flames,Crit DMG,62.2,34.2,ATK:16 | HP%:9.9 | Crit Rate:17.1 | HP:209
Skirk,90,19513,2212,841,0,120.1,76.8,216.7,Cryo,61.6,165.70000000000002,Finale of the Deep Galleries,HP,4780,27.2,Crit Rate:10.9 | Crit DMG:5.4 | ATK%:19.8 | HP%:5.3,Finale of the Deep Galleries,ATK,311,35.8,ATK%:9.9 | Crit Rate:10.5 | ER%:4.5 | Crit DMG:14.8,Finale of the Deep Galleries,ATK%,46.6,33.4,Crit DMG:20.2 | ATK:37 | ER%:9.7 | Crit Rate:6.6,Golden Troupe,Cryo DMG%,46.6,46.7,ATK%:4.1 | Crit Rate:10.5 | HP%:4.1 | Crit DMG:25.7,Finale of the Deep Galleries,Crit DMG,62.2,22.6,DEF:35 | HP%:9.3 | Crit Rate:11.3 | ER%:5.8
Kaedehara Kazuha,90,22466,1346,1050,1036,278.3,11.6,62.4,Anemo,15.0,25.6,Tenacity of the Millelith,HP,4780,7.8,EM:105 | ATK%:5.3 | Crit Rate:3.9 | ATK:37,Viridescent Venerer,ATK,311,0.0,HP:538 | EM:91 | ER%:4.5 | DEF%:12.4,Viridescent Venerer,EM,187.0,0.0,ER%:18.1 | DEF%:13.1 | DEF:37 | ATK:14,Viridescent Venerer,EM,187.0,5.4,Crit Rate:2.7 | HP%:4.1 | HP:687 | ATK%:12.8,Viridescent Venerer,EM,187.0,12.4,ER%:6.5 | ATK%:4.1 | Crit DMG:12.4 | HP%:19.2
Citlali,90,16648,925,952,952,183.9,17.3,72.4,N/A,0.0,46.9,Instructor,HP,3571,0.0,DEF%:5.3 | ATK:11 | EM:50 | ER%:8.8,Instructor,ATK,232,0.0,DEF%:5.8 | ER%:15 | HP:215 | DEF:15,Pale Flame,ER%,51.8,32.6,Crit Rate:10.1 | Crit DMG:12.4 | HP:269 | EM:63,Instructor,EM,139.0,9.9,ER%:8.3 | HP%:3.7 | Crit DMG:9.9 | DEF:19,Instructor,EM,139.0,4.4,DEF%:9.3 | ATK:14 | Crit Rate:2.2 | HP:526
Xilonen,90,18966,1311,3742,42,215.9,17.4,72.5,N/A,0.0,47.3,Scroll of the Hero of Cinder City,HP,4780,0.0,ER%:14.2 | ATK:14 | DEF%:19 | HP%:10.5,Scroll of the Hero of Cinder City,ATK,311,19.4,Crit DMG:6.2 | DEF%:23.3 | Crit Rate:6.6 | ER%:4.5,Scroll of the Hero of Cinder City,ER%,51.8,0.0,DEF%:24.8 | ATK:14 | HP:478 | ATK%:11.7,Viridescent Venerer,DEF%,58.3,17.0,Crit DMG:5.4 | Crit Rate:5.8 | ATK%:5.3 | ER%:25.3,Scroll of the Hero of Cinder City,DEF%,58.3,10.9,Crit DMG:10.9 | ATK:18 | ER%:20.1 | EM:42
Xiao,90,20571,2425,951,0,153.1,63.5,249.8,Anemo,46.6,150.10000000000002,Marechaussee Hunter,HP,4780,42.8,ATK%:9.9 | Crit DMG:19.4 | Crit Rate:11.7 | ATK:16,Marechaussee Hunter,ATK,311,34.2,ER%:19.4 | Crit Rate:10.1 | Crit DMG:14 | DEF%:5.1,Marechaussee Hunter,ATK%,46.6,31.9,ER%:16.2 | HP:269 | Crit DMG:18.7 | Crit Rate:6.6,Golden Troupe,Anemo DMG%,46.6,19.4,Crit DMG:19.4 | HP:239 | ATK%:21 | ATK:19,Deepwood Memories,Crit DMG,62.2,21.8,ATK%:5.3 | ER%:17.5 | Crit Rate:10.9 | DEF%:13.9
Mavuika,90,17541,2150,844,210,106.5,60.0,222.8,Pyro,46.6,160.1,Golden Troupe,HP,4780,47.4,Crit DMG:27.2 | ATK%:4.7 | Crit Rate:10.1 | EM:21,Obsidian Codex,ATK,311,40.5,HP:209 | ATK%:8.2 | Crit DMG:10.9 | Crit Rate:14.8,Obsidian Codex,ATK%,46.6,23.2,Crit Rate:5.4 | Crit DMG:12.4 | EM:79 | ATK:16,Obsidian Codex,Pyro DMG%,46.6,21.8,ATK:14 | EM:65 | DEF%:6.6 | Crit DMG:21.8,Obsidian Codex,Crit DMG,62.2,27.2,ATK%:5.3 | ER%:6.5 | Crit Rate:13.6 | EM:44
Wanderer,90,15776,2147,649,0,138.2,80.6,209.9,Anemo,46.6,166.2,Heart of Depth,HP,4780,41.2,Crit DMG:14 | Crit Rate:13.6 | HP%:5.3 | ER%:5.8,Heart of Depth,ATK,311,41.2,ATK%:5.8 | Crit Rate:14.4 | ER%:5.8 | Crit DMG:12.4,Heart of Depth,ATK%,46.6,38.8,DEF:23 | HP:299 | Crit DMG:21 | Crit Rate:8.9,Emblem of Severed Fate,Anemo DMG%,46.6,31.8,ER%:9.7 | Crit DMG:6.2 | DEF:19 | Crit Rate:12.8,Heart of Depth,Crit DMG,62.2,13.2,ATK:18 | Crit Rate:6.6 | ER%:16.8 | ATK%:11.1
Columbina,90,40775,855,609,16,205.3,74.0,165.8,N/A,0.0,153.09999999999997,Silken Moon's Serenade,HP,4780,25.6,HP%:14.6 | DEF%:6.6 | Crit Rate:5.4 | Crit DMG:14.8,Silken Moon's Serenade,ATK,311,38.1,ER%:10.4 | HP%:5.3 | Crit Rate:3.1 | Crit DMG:31.9,Vourukasha's Glow,HP%,46.6,26.4,Crit DMG:21 | DEF%:5.1 | ER%:14.2 | Crit Rate:2.7,Pale Flame,HP%,46.6,44.3,HP:209 | Crit Rate:7.4 | Crit DMG:29.5 | DEF%:6.6,Pale Flame,Crit Rate,31.1,18.7,HP%:10.5 | ER%:18.8 | EM:16 | Crit DMG:18.7
Ineffa,90,18643,2241,828,253,138.1,90.7,224.2,N/A,0.0,178.8,Emblem of Severed Fate,HP,4780,35.0,ER%:5.2 | EM:35 | Crit DMG:6.2 | Crit Rate:14.4,Thundersoother,ATK,311,40.5,Crit DMG:25.7 | EM:42 | HP%:5.8 | Crit Rate:7.4,Thundersoother,ATK%,46.6,35.0,EM:61 | ER%:6.5 | Crit DMG:19.4 | Crit Rate:7.8,Obsidian Codex,ATK%,46.6,41.9,ATK:14 | Crit DMG:30.3 | Crit Rate:5.8 | ER%:6.5,Emblem of Severed Fate,Crit Rate,31.1,26.4,ATK%:11.1 | Crit DMG:26.4 | HP%:4.1 | EM:35
Neuvillette,90,40386,1096,613,0,122.7,42.3,309.5,Hydro,46.6,207.5,Marechaussee Hunter,HP,4780,35.0,ER%:4.5 | HP%:15.2 | Crit Rate:3.9 | Crit DMG:27.2,Marechaussee Hunter,ATK,311,51.3,HP%:5.8 | DEF:16 | Crit Rate:14 | Crit DMG:23.3,Marechaussee Hunter,HP%,46.6,40.4,Crit Rate:6.6 | HP:239 | ER%:5.2 | Crit DMG:27.2,Golden Troupe,Hydro DMG%,46.6,40.4,Crit Rate:9.7 | Crit DMG:21 | ATK%:4.7 | HP%:10.5,Marechaussee Hunter,HP%,46.6,40.4,Crit DMG:34.2 | Crit Rate:3.1 | ER%:13 | DEF:21
