Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Nefer,100,20511,1477,939,553,128.5,53.0,314.2,N/A,0.0,155.4,1
Lauma,100,16669,1231,808,988,136.8,75.4,156.5,N/A,0.0,184.89999999999998,1
Columbina,100,38814,1099,661,80,117.5,57.2,285.9,N/A,0.0,151.5,1
Nahida,90,15947,1328,667,648,116.8,41.9,193.8,Dendro,61.6,155.39999999999998,5
Chasca,100,15512,2523,799,56,106.5,74.0,268.5,N/A,0.0,189.8,5
Mavuika,100,18523,2377,1127,37,100.0,60.0,225.2,Pyro,46.6,162.2,1
Citlali,100,17240,1286,896,917,116.8,64.1,127.7,N/A,0.0,133.5,2
Xilonen,100,18366,1365,4287,35,104.5,50.5,102.9,N/A,0.0,143.7,1
Skirk,100,18528,2182,979,35,111.7,76.8,210.4,Cryo,61.6,159.4,1
Furina,100,41247,1254,799,0,106.5,98.1,272.7,N/A,0.0,220.10000000000002,5
Escoffier,100,19376,2486,1042,16,111.7,98.5,238.2,N/A,0.0,208.3,1
Shenhe,90,18984,4215,865,21,118.1,39.6,123.8,Pyro,30.0,143.0,2
