Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Keqing,100,19292,2251,872,63,100.0,84.7,252.9,Pyro,48.0,217.60000000000002,5
Fischl,100,15352,2310,656,21,100.0,97.2,178.2,Electro,46.6,184.1,5
Nahida,95,15717,1346,740,706,111.7,53.2,196.1,Dendro,61.6,180.29999999999998,5
Xilonen,90,21117,1147,4111,79,142.8,11.2,63.2,N/A,0.0,25.6,1
Skirk,90,17973,2699,850,16,100.0,77.6,171.5,Cryo,61.6,184.2,1
Furina,90,36408,1077,787,16,175.5,83.7,182.1,N/A,0.0,188.79999999999998,5
Yelan,90,29083,1097,789,16,158.9,85.6,229.1,Hydro,46.6,151.3,1
Sangonomiya Kokomi,90,38359,1306,943,33,170.6,-88.0,57.8,Hydro,75.4,21.8,1
Yae Miko,90,16297,1875,585,61,104.5,95.0,194.5,Electro,46.6,168.6,5
Kaedehara Kazuha,90,19923,1296,1203,1004,177.7,11.6,57.8,Anemo,15.0,21.0,1
