Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Keqing,100,19292,2251,872,63,100.0,84.7,252.9,Pyro,48.0,217.60000000000002,Brave Heart,HP,4780,48.2,Crit Rate:10.1 | ATK%:5.3 | EM:23 | Crit DMG:28,Brave Heart,ATK,311,50.5,Crit DMG:23.3 | EM:23 | Crit Rate:13.6 | ATK%:4.7,Brave Heart,ATK%,46.6,45.1,Crit DMG:15.5 | Crit Rate:14.8 | EM:16 | HP:209,Brave Heart,Electro DMG%,46.6,45.8,Crit DMG:25.6 | HP:269 | ATK%:5.8 | Crit Rate:10.1,Brave Heart,Crit Rate,31.1,28.0,Crit DMG:28 | ATK:16 | ATK%:17.5 | DEF:16
Fischl,100,15352,2310,656,21,100.0,97.2,178.2,Electro,46.6,184.1,Golden Troupe,HP,4780,34.2,Crit Rate:9.7 | ATK:16 | Crit DMG:14.8 | ATK%:13.4,Golden Troupe,ATK,311,43.5,ATK%:4.7 | Crit DMG:18.7 | Crit Rate:12.4 | EM:21,Golden Troupe,ATK%,46.6,46.6,Crit Rate:13.2 | HP:239 | Crit DMG:20.2 | DEF:21,Thundersoother,Electro DMG%,46.6,41.2,HP:239 | Crit DMG:12.4 | ATK%:8.7 | Crit Rate:14.4,Golden Troupe,Crit DMG,62.2,18.6,ATK:39 | HP:269 | ATK%:15.2 | Crit Rate:9.3
Nahida,95,15717,1346,740,706,111.7,53.2,196.1,Dendro,61.6,180.29999999999998,Deepwood Memories,HP,4780,38.8,EM:42 | Crit DMG:26.4 | Crit Rate:6.2 | ATK%:4.1,Deepwood Memories,ATK,311,39.7,EM:19 | Crit DMG:22.5 | DEF:39 | Crit Rate:8.6,Deepwood Memories,EM,187.0,46.6,Crit Rate:16.7 | DEF%:7.3 | ATK:16 | Crit DMG:13.2,Set_15026,Dendro DMG%,46.6,39.6,Crit Rate:8.9 | Crit DMG:21.8 | ER%:11.7 | HP:209,Deepwood Memories,Crit DMG,62.2,15.6,ATK%:10.5 | ATK:18 | EM:79 | Crit Rate:7.8
Xilonen,90,21117,1147,4111,79,142.8,11.2,63.2,N/A,0.0,25.6,Scroll of the Hero of Cinder City,HP,4780,12.4,Crit Rate:6.2 | DEF%:19.7 | DEF:19 | ER%:11.7,Scroll of the Hero of Cinder City,ATK,311,0.0,DEF%:11.7 | ER%:12.3 | EM:47 | HP%:9.3,Scroll of the Hero of Cinder City,DEF%,58.3,0.0,HP:717 | HP%:8.2 | DEF:16 | EM:33,Scroll of the Hero of Cinder City,DEF%,58.3,13.2,Crit DMG:13.2 | DEF:42 | HP:508 | ER%:12.3,Scroll of the Hero of Cinder City,DEF%,58.3,0.0,ER%:6.5 | HP:538 | DEF:83 | ATK:19
Skirk,90,17973,2699,850,16,100.0,77.6,171.5,Cryo,61.6,184.2,Finale of the Deep Galleries,HP,4780,35.0,Crit Rate:6.6 | Crit DMG:21.8 | ATK%:11.7 | ATK:16,Finale of the Deep Galleries,ATK,311,23.2,Crit Rate:5.4 | Crit DMG:12.4 | HP%:4.1 | ATK%:18.1,Finale of the Deep Galleries,ATK%,46.6,44.4,Crit Rate:18.3 | Crit DMG:7.8 | EM:16 | HP:269,Thundering Fury,Cryo DMG%,46.6,39.6,Crit Rate:9.7 | DEF:23 | Crit DMG:20.2 | ATK%:4.1,Finale of the Deep Galleries,ATK%,46.6,42.0,Crit Rate:10.5 | Crit DMG:21 | DEF:21 | ATK:27
Furina,90,36408,1077,787,16,175.5,83.7,182.1,N/A,0.0,188.79999999999998,Golden Troupe,HP,4780,42.0,Crit Rate:10.1 | Crit DMG:21.8 | HP%:11.7 | ATK:19,Golden Troupe,ATK,311,46.6,EM:16 | Crit DMG:12.4 | DEF:16 | Crit Rate:17.1,Noblesse Oblige,HP%,46.6,40.4,Crit DMG:14 | DEF:16 | HP:269 | Crit Rate:13.2,Golden Troupe,HP%,46.6,41.2,DEF%:5.1 | Crit DMG:21.8 | Crit Rate:9.7 | ATK:14,Golden Troupe,Crit DMG,62.2,18.6,ATK:35 | DEF:23 | ER%:14.2 | Crit Rate:9.3
Yelan,90,29083,1097,789,16,158.9,85.6,229.1,Hydro,46.6,151.3,Emblem of Severed Fate,HP,4780,34.1,DEF:21 | Crit Rate:9.3 | ER%:9.7 | Crit DMG:15.5,Emblem of Severed Fate,ATK,311,37.3,DEF:46 | ER%:6.5 | Crit Rate:12.8 | Crit DMG:11.7,Emblem of Severed Fate,HP%,46.6,18.6,Crit Rate:2.7 | ER%:12.3 | DEF%:23.3 | Crit DMG:13.2,Brave Heart,Hydro DMG%,46.6,38.8,EM:16 | DEF:19 | Crit DMG:28 | Crit Rate:5.4,Emblem of Severed Fate,Crit Rate,31.1,22.5,ER%:10.4 | DEF%:5.1 | HP:807 | Crit DMG:22.5
Sangonomiya Kokomi,90,38359,1306,943,33,170.6,-88.0,57.8,Hydro,75.4,21.8,Crimson Witch of Flames,HP,4780,0.0,DEF:56 | ATK:16 | HP%:4.7 | ER%:16.8,Crimson Witch of Flames,ATK,311,7.0,Crit Rate:3.5 | HP%:15.8 | DEF%:14.6 | ER%:18.8,Brave Heart,HP%,46.6,14.8,Crit Rate:3.5 | ER%:29.8 | Crit DMG:7.8 | DEF:19,Crimson Witch of Flames,Hydro DMG%,46.6,0.0,ATK%:11.7 | ATK:39 | HP%:15.7 | DEF%:10.9,Crimson Witch of Flames,Healing%,35.9,0.0,DEF:44 | HP%:16.9 | ER%:5.2 | EM:33
Yae Miko,90,16297,1875,585,61,104.5,95.0,194.5,Electro,46.6,168.6,Golden Troupe,HP,4780,35.7,Crit Rate:5.8 | ATK%:8.7 | Crit DMG:24.1 | ATK:18,Golden Troupe,ATK,311,46.6,DEF:16 | Crit Rate:16.3 | ATK%:4.7 | Crit DMG:14,Golden Troupe,ATK%,46.6,40.4,Crit DMG:13.2 | EM:21 | Crit Rate:13.6 | ER%:4.5,Brave Heart,Electro DMG%,46.6,25.7,Crit Rate:3.9 | Crit DMG:17.9 | ATK%:17.5 | HP:299,Golden Troupe,Crit Rate,31.1,20.2,Crit DMG:20.2 | ATK%:4.7 | HP%:8.2 | EM:40
Kaedehara Kazuha,90,19923,1296,1203,1004,177.7,11.6,57.8,Anemo,15.0,21.0,Viridescent Venerer,HP,4780,0.0,ATK:18 | DEF%:5.8 | EM:51 | ER%:16.2,Brave Heart,ATK,311,7.8,Crit DMG:7.8 | ER%:18.1 | ATK%:5.3 | EM:79,Viridescent Venerer,EM,187.0,0.0,HP:239 | ATK:16 | DEF:83 | ER%:11.7,Viridescent Venerer,EM,187.0,13.2,ER%:21.4 | DEF:16 | DEF%:12.4 | Crit Rate:6.6,Viridescent Venerer,EM,187.0,0.0,DEF:44 | HP%:11.7 | ER%:10.4 | DEF%:13.1
