Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Keqing,90,18122,2126,820,86,111.7,80.8,227.3,Pyro,24.0,184.2,1
Columbina,90,36563,1071,531,263,122.0,79.0,278.9,N/A,0.0,188.0,1
Skirk,90,18501,2628,938,56,100.0,70.6,251.6,Cryo,15.0,188.10000000000002,1
Escoffier,90,18636,2030,776,0,192.8,84.5,174.3,N/A,0.0,182.5,5
Chiori,90,17560,1376,2463,0,104.5,95.0,252.4,N/A,0.0,193.7,1
Nilou,90,68999,1180,861,185,174.5,5.0,50.0,N/A,0.0,0.0,1
Yumemizuki Mizuki,90,17516,1221,1001,1084,160.2,28.7,75.7,Anemo,15.0,73.1,1
Sangonomiya Kokomi,90,37540,1181,778,184,188.7,-91.1,85.8,Hydro,28.8,43.5,5
Ineffa,90,17393,2594,844,159,127.2,80.2,236.6,N/A,0.0,170.0,1
Furina,90,35217,1152,803,16,139.5,86.4,254.8,N/A,0.0,178.8,1
Clorinde,90,18701,2381,824,21,136.9,65.0,266.4,Electro,46.6,171.79999999999998,1
Chasca,90,15390,2334,638,154,113.6,60.7,279.4,N/A,0.0,173.9,1
