Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Keqing,90,18122,2126,820,86,111.7,80.8,227.3,Pyro,24.0,184.2,Brave Heart,HP,4780,32.6,Crit DMG:20.2 | EM:42 | Crit Rate:6.2 | ATK%:11.7,Brave Heart,ATK,311,42.0,ER%:5.8 | Crit DMG:20.2 | ATK%:10.5 | Crit Rate:10.9,Emblem of Severed Fate,ATK%,46.6,42.0,ATK:16 | EM:21 | Crit DMG:14 | Crit Rate:14,Brave Heart,Electro DMG%,46.6,40.4,HP:239 | Crit Rate:13.6 | DEF:21 | Crit DMG:13.2,Brave Heart,Crit Rate,31.1,27.2,ER%:5.8 | ATK%:11.7 | Crit DMG:27.2 | EM:23
Columbina,90,36563,1071,531,263,122.0,79.0,278.9,N/A,0.0,188.0,Thundersoother,HP,4780,48.2,DEF:16 | EM:19 | Crit Rate:10.5 | Crit DMG:27.2,Flower of Paradise Lost,ATK,311,39.6,ATK%:9.3 | ER%:4.5 | Crit Rate:13.2 | Crit DMG:13.2,Thundersoother,HP%,46.6,37.3,Crit DMG:22.5 | ER%:17.5 | Crit Rate:7.4 | ATK%:5.3,Noblesse Oblige,HP%,46.6,42.7,EM:40 | Crit DMG:15.5 | ATK%:4.7 | Crit Rate:13.6,Flower of Paradise Lost,Crit DMG,62.2,20.2,EM:44 | HP%:11.7 | Crit Rate:10.1 | HP:209
Skirk,90,18501,2628,938,56,100.0,70.6,251.6,Cryo,15.0,188.10000000000002,Finale of the Deep Galleries,HP,4780,40.4,Crit DMG:26.4 | EM:35 | ATK%:4.1 | Crit Rate:7,Finale of the Deep Galleries,ATK,311,39.7,Crit Rate:7 | DEF%:6.6 | Crit DMG:25.7 | ATK%:11.1,Silken Moon's Serenade,ATK%,46.6,48.2,DEF:21 | Crit Rate:10.5 | EM:21 | Crit DMG:27.2,Finale of the Deep Galleries,ATK%,46.6,40.4,Crit Rate:9.3 | DEF:42 | ATK:19 | Crit DMG:21.8,Finale of the Deep Galleries,Crit DMG,62.2,19.4,HP%:10.5 | ATK%:14 | DEF:16 | Crit Rate:9.7
Escoffier,90,18636,2030,776,0,192.8,84.5,174.3,N/A,0.0,182.5,Golden Troupe,HP,4780,40.4,ATK%:5.3 | Crit Rate:6.6 | ATK:19 | Crit DMG:27.2,Golden Troupe,ATK,311,38.8,Crit Rate:6.2 | Crit DMG:26.4 | ATK%:9.9 | HP:209,Brave Heart,ER%,51.8,42.7,Crit DMG:29.5 | Crit Rate:6.6 | DEF:21 | ATK%:5.8,Golden Troupe,ATK%,46.6,46.6,Crit Rate:9.7 | Crit DMG:27.2 | DEF:23 | HP:299,Golden Troupe,Crit Rate,31.1,14.0,ATK:18 | Crit DMG:14 | ER%:10.4 | ATK%:16.9
Chiori,90,17560,1376,2463,0,104.5,95.0,252.4,N/A,0.0,193.7,Golden Troupe,HP,4780,40.5,ATK%:4.1 | Crit DMG:18.7 | HP%:9.9 | Crit Rate:10.9,Golden Troupe,ATK,311,33.4,Crit DMG:13.2 | DEF%:11.7 | ATK%:9.9 | Crit Rate:10.1,Golden Troupe,DEF%,58.3,49.0,DEF:16 | Crit Rate:10.1 | HP:209 | Crit DMG:28.8,Emblem of Severed Fate,DEF%,58.3,42.8,Crit Rate:8.6 | DEF:19 | ATK%:4.7 | Crit DMG:25.6,Golden Troupe,Crit Rate,31.1,28.0,DEF%:6.6 | ATK:39 | Crit DMG:28 | ER%:4.5
Nilou,90,68999,1180,861,185,174.5,5.0,50.0,N/A,0.0,0.0,Pale Flame,HP,4780,0.0,HP%:19.8 | ATK:14 | DEF%:12.4 | ER%:11,Flower of Paradise Lost,ATK,311,0.0,HP%:15.2 | ER%:18.8 | DEF:42 | EM:23,Flower of Paradise Lost,HP%,46.6,0.0,HP:478 | ER%:11 | ATK:19 | EM:61,Pale Flame,HP%,46.6,0.0,ATK:16 | ATK%:4.1 | HP:508 | ER%:21.4,Viridescent Venerer,HP%,46.6,0.0,HP:1016 | ER%:12.3 | ATK:18 | EM:21
Yumemizuki Mizuki,90,17516,1221,1001,1084,160.2,28.7,75.7,Anemo,15.0,73.1,Viridescent Venerer,HP,4780,7.8,Crit Rate:3.9 | DEF:44 | EM:100 | ER%:6.5,Viridescent Venerer,ATK,311,11.7,ER%:4.5 | Crit DMG:11.7 | ATK%:14.6 | EM:44,Viridescent Venerer,EM,187.0,13.2,DEF%:5.1 | Crit Rate:6.6 | ER%:22 | DEF:35,Finale of the Deep Galleries,EM,187.0,33.4,Crit Rate:9.7 | ER%:11.7 | Crit DMG:14 | DEF%:5.8,Viridescent Venerer,EM,187.0,7.0,Crit Rate:3.5 | DEF%:10.9 | ATK:43 | ER%:15.5
Sangonomiya Kokomi,90,37540,1181,778,184,188.7,-91.1,85.8,Hydro,28.8,43.5,Crimson Witch of Flames,HP,4780,23.3,ER%:23.3 | EM:40 | Crit DMG:15.5 | Crit Rate:3.9,Crimson Witch of Flames,ATK,311,0.0,DEF:16 | ATK%:14.6 | HP%:4.7 | ER%:16.8,Crimson Witch of Flames,HP%,46.6,0.0,HP:239 | ER%:16.8 | DEF:19 | EM:89,Emblem of Severed Fate,HP%,46.6,14.0,Crit DMG:14 | ATK:18 | ER%:21.4 | HP:299,Crimson Witch of Flames,Healing%,35.9,6.2,DEF%:13.1 | EM:56 | Crit DMG:6.2 | ER%:10.4
Ineffa,90,17393,2594,844,159,127.2,80.2,236.6,N/A,0.0,170.0,Thundersoother,HP,4780,38.8,Crit DMG:28 | ATK:18 | Crit Rate:5.4 | ATK%:9.3,Thundersoother,ATK,311,41.1,Crit Rate:12.8 | EM:19 | ER%:9.1 | Crit DMG:15.5,Wanderer's Troupe,ATK%,46.6,35.7,ER%:12.3 | Crit Rate:3.1 | ATK:16 | Crit DMG:29.5,Heart of Depth,ATK%,46.6,34.2,DEF:16 | EM:61 | Crit Rate:3.5 | Crit DMG:27.2,Heart of Depth,Crit Rate,31.1,20.2,ATK:33 | ER%:5.8 | ATK%:15.8 | Crit DMG:20.2
Furina,90,35217,1152,803,16,139.5,86.4,254.8,N/A,0.0,178.8,Golden Troupe,HP,4780,42.0,DEF:21 | ER%:12.3 | Crit DMG:14 | Crit Rate:14,Golden Troupe,ATK,311,16.2,Crit DMG:5.4 | ER%:22.7 | Crit Rate:5.4 | ATK%:5.3,Golden Troupe,HP%,46.6,42.8,DEF%:6.6 | ER%:4.5 | Crit DMG:35 | Crit Rate:3.9,Obsidian Codex,HP%,46.6,42.8,DEF%:5.8 | EM:16 | Crit Rate:7.8 | Crit DMG:27.2,Golden Troupe,Crit Rate,31.1,35.0,HP:239 | Crit DMG:35 | HP%:4.1 | ATK:14
