Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Furina,100,33068,1245,799,0,116.2,100.4,282.0,Hydro,46.6,234.2,Marechaussee Hunter,HP,4780,52.1,Crit DMG:30.3 | Crit Rate:10.9 | HP%:4.1 | ER%:5.2,Golden Troupe,ATK,311,44.3,Crit Rate:14.4 | Crit DMG:15.5 | HP%:8.7 | ATK%:5.3,Golden Troupe,HP%,46.6,49.1,Crit DMG:11.7 | ER%:4.5 | Crit Rate:18.7 | DEF%:7.3,Golden Troupe,Hydro DMG%,46.6,45.1,HP:239 | Crit Rate:10.5 | Crit DMG:24.1 | HP%:5.8,Golden Troupe,Crit DMG,62.2,43.6,ER%:6.5 | Crit Rate:21.8 | ATK%:5.8 | HP%:5.8
Columbina,100,41376,1054,630,148,110.4,56.5,283.5,N/A,0.0,147.6,Night of the Sky's Unveiling,HP,4780,35.7,Crit DMG:22.5 | ER%:10.4 | Crit Rate:6.6 | HP%:4.7,Night of the Sky's Unveiling,ATK,311,25.6,DEF:39 | HP%:5.8 | EM:44 | Crit DMG:25.6,Night of the Sky's Unveiling,HP%,46.6,29.6,Crit Rate:8.6 | Crit DMG:12.4 | HP:209 | ATK:35,Blizzard Strayer,HP%,46.6,43.5,Crit Rate:10.5 | Crit DMG:22.5 | ATK:33 | EM:23,Night of the Sky's Unveiling,Crit DMG,62.2,13.2,ATK:16 | HP%:17.5 | DEF:39 | Crit Rate:6.6
Chiori,100,17628,1380,2423,0,111.0,98.8,220.6,Geo,46.6,169.4,Wanderer's Troupe,HP,4780,43.5,DEF%:5.8 | Crit Rate:9.7 | ATK%:4.7 | Crit DMG:24.1,Golden Troupe,ATK,311,33.5,HP:299 | Crit Rate:7.4 | Crit DMG:18.7 | DEF%:13.1,Golden Troupe,DEF%,58.3,47.4,Crit DMG:13.2 | HP:299 | Crit Rate:17.1 | ATK:14,Golden Troupe,Geo DMG%,46.6,24.8,DEF%:19 | Crit Rate:9.3 | Crit DMG:6.2 | ATK%:5.8,Golden Troupe,Crit Rate,31.1,20.2,ER%:11 | Crit DMG:20.2 | ATK:19 | DEF%:21.1
Yelan,90,32554,1132,588,0,153.0,74.0,271.1,Hydro,61.6,170.0,Emblem of Severed Fate,HP,4780,40.4,Crit DMG:19.4 | ATK:19 | Crit Rate:10.5 | HP%:4.1,Tenacity of the Millelith,ATK,311,34.1,Crit DMG:15.5 | ER%:16.2 | HP:269 | Crit Rate:9.3,Golden Troupe,HP%,46.6,35.7,ER%:16.8 | Crit DMG:22.5 | HP:269 | Crit Rate:6.6,Tenacity of the Millelith,Hydro DMG%,46.6,38.8,HP:478 | DEF%:7.3 | Crit Rate:12.8 | Crit DMG:13.2,Emblem of Severed Fate,Crit DMG,62.2,21.0,HP:568 | ATK:16 | Crit Rate:10.5 | HP%:14.6
Kamisato Ayaka,90,18984,2015,927,21,124.6,42.7,258.4,Pyro,36.0,139.1,Blizzard Strayer,HP,4780,13.2,ER%:20.1 | Crit DMG:13.2 | ATK%:5.8 | EM:21,Blizzard Strayer,ATK,311,42.0,ER%:4.5 | Crit Rate:14.4 | Crit DMG:13.2 | DEF:23,Blizzard Strayer,ATK%,46.6,34.1,Crit DMG:15.5 | ATK:35 | HP%:4.7 | Crit Rate:9.3,Golden Troupe,Cryo DMG%,46.6,36.6,DEF:23 | Crit DMG:21.8 | HP:747 | Crit Rate:7.4,Blizzard Strayer,Crit DMG,62.2,13.2,ATK:37 | DEF%:12.4 | ATK%:8.2 | Crit Rate:6.6
Nahida,90,15140,1174,865,619,117.5,40.8,166.6,Dendro,61.6,126.10000000000001,Deepwood Memories,HP,4780,15.6,Crit Rate:7.8 | EM:63 | ATK%:4.1 | DEF:42,Deepwood Memories,ATK,311,42.8,Crit Rate:10.5 | ATK%:5.3 | Crit DMG:21.8 | ER%:6.5,Deepwood Memories,EM,187.0,26.5,DEF:44 | Crit Rate:3.9 | Crit DMG:18.7 | DEF%:11.7,Golden Troupe,Dendro DMG%,46.6,33.4,DEF:39 | ER%:11 | Crit DMG:14 | Crit Rate:9.7,Deepwood Memories,Crit DMG,62.2,7.8,DEF%:5.8 | ATK%:14 | EM:54 | Crit Rate:3.9
Raiden Shogun,90,20029,3082,847,96,222.7,58.3,170.5,Electro,98.1,165.0,Emblem of Severed Fate,HP,4780,40.4,DEF%:7.3 | Crit Rate:9.7 | Crit DMG:21 | ATK:19,Emblem of Severed Fate,ATK,311,26.5,Crit Rate:7.4 | ATK%:9.9 | Crit DMG:11.7 | ER%:10.4,Marechaussee Hunter,ATK%,46.6,43.6,Crit Rate:18.3 | EM:16 | HP:538 | Crit DMG:7,Emblem of Severed Fate,ATK%,46.6,32.7,Crit Rate:7 | EM:42 | Crit DMG:18.7 | ATK:19,Thundersoother,Crit DMG,62.2,21.8,ER%:5.2 | Crit Rate:10.9 | EM:37 | HP%:14
Diluc,90,18517,1441,1069,226,105.2,102.7,172.0,Pyro,46.6,161.7,Marechaussee Hunter,HP,4780,35.7,ATK%:9.3 | Crit Rate:2.7 | DEF%:13.1 | Crit DMG:30.3,Marechaussee Hunter,ATK,311,35.0,Crit DMG:27.2 | HP%:5.8 | DEF:39 | Crit Rate:3.9,Crimson Witch of Flames,EM,187.0,40.4,Crit Rate:10.1 | DEF%:6.6 | ATK%:9.3 | Crit DMG:20.2,Wanderer's Troupe,Pyro DMG%,46.6,31.9,Crit DMG:25.7 | Crit Rate:3.1 | EM:40 | DEF%:6.6,Gladiator's Finale,Crit Rate,31.1,18.7,DEF%:5.1 | ATK%:15.2 | Crit DMG:18.7 | ER%:5.2
Mona,90,17482,1029,690,48,150.1,55.2,190.7,Hydro,60.1,178.7,Golden Troupe,HP,4780,45.8,ER%:6.5 | Crit DMG:40.4 | ATK:19 | Crit Rate:2.7,Golden Troupe,ATK,311,34.2,ER%:11.7 | ATK%:9.9 | Crit Rate:10.5 | Crit DMG:13.2,Golden Troupe,ATK%,46.6,38.8,Crit DMG:6.2 | DEF:21 | HP:239 | Crit Rate:16.3,Thundersoother,ATK%,46.6,32.7,HP%:9.9 | Crit Rate:7 | DEF:16 | Crit DMG:18.7,Golden Troupe,Crit DMG,62.2,27.2,HP%:4.7 | ATK%:9.9 | Crit Rate:13.6 | HP:538
Fischl,90,14238,2269,617,220,166.1,87.0,133.1,N/A,0.0,185.1,Golden Troupe,HP,4780,41.2,EM:19 | DEF:23 | Crit Rate:10.1 | Crit DMG:21,Marechaussee Hunter,ATK,311,48.2,Crit Rate:16.7 | Crit DMG:14.8 | EM:16 | ATK%:5.8,Golden Troupe,ATK%,46.6,42.8,HP:269 | Crit Rate:14 | Crit DMG:14.8 | ER%:6.5,Golden Troupe,ATK%,46.6,38.9,Crit Rate:10.1 | Crit DMG:18.7 | ATK:18 | EM:23,Golden Troupe,Crit Rate,31.1,14.0,Crit DMG:14 | ER%:4.5 | ATK%:4.7 | EM:86
