Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Furina,100,33068,1245,799,0,116.2,100.4,282.0,Hydro,46.6,234.2,1
Columbina,100,41376,1054,630,148,110.4,56.5,283.5,N/A,0.0,147.6,1
Chiori,100,17628,1380,2423,0,111.0,98.8,220.6,Geo,46.6,169.4,1
Yelan,90,32554,1132,588,0,153.0,74.0,271.1,Hydro,61.6,170.0,1
Kamisato Ayaka,90,18984,2015,927,21,124.6,42.7,258.4,Pyro,36.0,139.1,3
Nahida,90,15140,1174,865,619,117.5,40.8,166.6,Dendro,61.6,126.10000000000001,5
Raiden Shogun,90,20029,3082,847,96,222.7,58.3,170.5,Electro,98.1,165.0,2
Diluc,90,18517,1441,1069,226,105.2,102.7,172.0,Pyro,46.6,161.7,5
Mona,90,17482,1029,690,48,150.1,55.2,190.7,Hydro,60.1,178.7,5
Fischl,90,14238,2269,617,220,166.1,87.0,133.1,N/A,0.0,185.1,2
Sucrose,90,16153,1426,765,717,138.9,55.5,61.7,Anemo,39.0,50.5,1
Ineffa,90,20089,2430,924,16,136.2,92.6,191.5,N/A,0.0,150.0,1
