Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Keqing,90,18657,1922,839,47,105.8,76.6,288.7,Pyro,48.0,237.39999999999998,5
Yoimiya,90,16434,2263,638,86,100.0,98.0,198.2,Pyro,46.6,169.5,1
Sangonomiya Kokomi,90,41203,1224,690,100,193.9,-91.1,65.5,Hydro,75.4,23.4,1
Ganyu,90,15484,2912,630,157,111.7,51.7,181.6,Cryo,46.6,186.5,1
Lynette,90,21246,2201,779,0,106.5,110.2,175.1,Anemo,70.6,184.89999999999998,1
Furina,90,37209,1154,781,0,153.1,75.1,261.8,N/A,0.0,163.2,1
Chiori,95,16624,1506,2339,21,104.5,77.9,281.2,Geo,46.6,188.0,1
Nilou,90,51454,1087,766,235,146.1,35.7,102.8,Electro,15.0,114.2,1
Mualani,90,34167,1172,654,75,100.0,60.8,207.7,Hydro,46.6,113.4,5
Citlali,90,21125,1048,993,993,157.0,15.5,50.0,N/A,0.0,21.0,5
Ineffa,90,18446,2530,1092,44,111.0,99.2,202.4,N/A,0.0,174.1,1
Columbina,90,41578,1035,647,183,109.7,56.1,253.3,N/A,0.0,116.5,1
