Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Keqing,100,18814,2632,906,35,104.5,81.6,247.5,Pyro,42.0,206.10000000000002,Thundering Fury,HP,4780,46.6,Crit Rate:13.2 | ATK%:5.3 | ATK:18 | Crit DMG:20.2,Heart of Depth,ATK,311,49.8,EM:16 | Crit DMG:21.8 | Crit Rate:14 | ATK%:5.8,Thundering Fury,ATK%,46.6,51.4,ER%:4.5 | Crit Rate:11.3 | EM:19 | Crit DMG:28.8,Heart of Depth,Electro DMG%,46.6,37.3,Crit DMG:23.3 | Crit Rate:7 | ATK%:14.6 | ATK:18,Tenacity of the Millelith,Crit Rate,31.1,21.0,DEF%:5.8 | ATK%:21.6 | ATK:19 | Crit DMG:21
Skirk,100,20675,2237,949,21,100.0,72.9,247.7,Cryo,61.6,188.99999999999997,Finale of the Deep Galleries,HP,4780,38.9,Crit DMG:31.1 | ATK%:4.1 | Crit Rate:3.9 | DEF%:5.1,Thundering Fury,ATK,311,49.8,Crit DMG:27.2 | HP%:5.8 | Crit Rate:11.3 | ATK%:4.7,Finale of the Deep Galleries,ATK%,46.6,35.8,EM:21 | Crit DMG:21 | DEF:42 | Crit Rate:7.4,Finale of the Deep Galleries,Cryo DMG%,46.6,37.3,Crit Rate:9.7 | Crit DMG:17.9 | ATK:14 | ATK%:11.1,Finale of the Deep Galleries,Crit DMG,62.2,27.2,ATK%:5.3 | Crit Rate:13.6 | HP%:11.7 | HP:269
Mavuika,100,18224,2996,894,163,100.0,50.6,240.7,Pyro,46.6,159.6,Obsidian Codex,HP,4780,37.3,Crit Rate:3.9 | ATK:14 | ATK%:14 | Crit DMG:29.5,Obsidian Codex,ATK,311,45.9,EM:23 | Crit DMG:38.9 | Crit Rate:3.5 | DEF:23,Obsidian Codex,ATK%,46.6,37.4,ATK:16 | EM:56 | Crit DMG:21.8 | Crit Rate:7.8,Obsidian Codex,Pyro DMG%,46.6,14.8,ATK%:21 | ATK:14 | Crit Rate:7.4 | EM:44,Emblem of Severed Fate,Crit DMG,62.2,24.2,ATK%:9.9 | EM:40 | DEF:23 | Crit Rate:12.1
ID_10000126,95,19323,1243,2655,134,100.0,62.2,293.2,N/A,0.0,168.8,Night of the Sky's Unveiling,HP,4780,41.2,ATK:16 | Crit DMG:12.4 | Crit Rate:14.4 | DEF%:6.6,Night of the Sky's Unveiling,ATK,311,26.4,EM:54 | Crit DMG:7.8 | DEF%:11.7 | Crit Rate:9.3,Night of the Sky's Unveiling,DEF%,58.3,35.0,ATK%:5.3 | Crit DMG:13.2 | Crit Rate:10.9 | HP:687,Tenacity of the Millelith,DEF%,58.3,52.2,Crit Rate:15.6 | ATK:19 | ATK%:4.1 | Crit DMG:21,Night of the Sky's Unveiling,Crit DMG,62.2,14.0,DEF%:13.1 | HP:478 | Crit Rate:7 | ATK:31
Tartaglia,90,18660,1826,833,103,110.4,96.8,177.5,Hydro,90.4,182.7,Nymph's Dream,HP,4780,33.5,ATK%:10.5 | EM:19 | Crit DMG:18.7 | Crit Rate:7.4,Nymph's Dream,ATK,311,48.2,Crit DMG:14 | Crit Rate:17.1 | DEF:19 | HP:239,Nymph's Dream,ATK%,46.6,38.0,Crit Rate:12.8 | ATK:16 | HP:538 | Crit DMG:12.4,Nymph's Dream,Hydro DMG%,46.6,26.4,Crit DMG:20.2 | Crit Rate:3.1 | ATK%:5.8 | EM:61,Scroll of the Hero of Cinder City,Crit DMG,62.2,36.6,EM:23 | ER%:10.4 | Crit Rate:18.3 | ATK:18
Zhongli,90,33190,1891,738,0,133.0,79.7,217.9,Geo,90.4,189.00000000000003,Gladiator's Finale,HP,4780,41.2,HP%:5.3 | ER%:12.3 | Crit Rate:6.6 | Crit DMG:28,Archaic Petra,ATK,311,50.6,Crit Rate:11.7 | ER%:6.5 | HP%:5.8 | Crit DMG:27.2,Gladiator's Finale,HP%,46.6,37.3,HP:508 | Crit Rate:10.1 | ER%:5.2 | Crit DMG:17.1,Tenacity of the Millelith,Geo DMG%,46.6,36.6,Crit Rate:15.2 | HP%:8.7 | Crit DMG:6.2 | ATK:18,Archaic Petra,Crit Rate,31.1,23.3,ATK:18 | HP:508 | Crit DMG:23.3 | ER%:9.1
Kamisato Ayato,90,19354,1931,849,98,100.0,87.1,229.1,Pyro,30.0,176.5,Blizzard Strayer,HP,4780,38.8,EM:21 | DEF:19 | Crit DMG:33.4 | Crit Rate:2.7,Blizzard Strayer,ATK,311,35.8,Crit DMG:14 | ATK%:5.3 | EM:35 | Crit Rate:10.9,Blizzard Strayer,ATK%,46.6,35.0,Crit Rate:17.5 | ATK:18 | DEF%:5.1 | EM:42,Blizzard Strayer,Hydro DMG%,46.6,38.1,Crit Rate:3.5 | ATK:16 | Crit DMG:31.1 | HP:299,Blizzard Strayer,Crit DMG,62.2,28.8,ATK:47 | HP%:4.1 | Crit Rate:14.4 | DEF:23
Flins,90,17853,2677,850,229,127.2,65.2,208.1,N/A,0.0,133.70000000000002,Night of the Sky's Unveiling,HP,4780,32.6,Crit Rate:6.6 | Crit DMG:19.4 | ATK%:15.2 | EM:19,Night of the Sky's Unveiling,ATK,311,40.4,Crit Rate:10.5 | Crit DMG:19.4 | ATK%:4.1 | ER%:9.7,Night of the Sky's Unveiling,ATK%,46.6,18.7,Crit Rate:3.5 | DEF%:5.1 | Crit DMG:11.7 | EM:86,Night of the Sky's Unveiling,ATK%,46.6,27.2,ATK:14 | ER%:17.5 | Crit DMG:7 | Crit Rate:10.1,Obsidian Codex,Crit DMG,62.2,14.8,EM:44 | ATK%:16.9 | HP%:4.7 | Crit Rate:7.4
Columbina,90,39259,1027,650,120,111.7,57.6,266.5,N/A,0.0,132.8,Set_15043,HP,4780,34.2,DEF%:5.8 | Crit DMG:13.2 | Crit Rate:10.5 | HP%:9.3,Set_15043,ATK,311,25.6,HP%:14.6 | Crit DMG:19.4 | Crit Rate:3.1 | ER%:6.5,Blizzard Strayer,HP%,46.6,40.4,HP:269 | DEF%:12.4 | Crit DMG:33.4 | Crit Rate:3.5,Set_15043,HP%,46.6,12.4,EM:40 | HP:837 | ER%:5.2 | Crit Rate:6.2,Set_15043,Crit DMG,62.2,20.2,DEF:42 | ATK:19 | ATK%:9.3 | Crit Rate:10.1
Yelan,90,39361,1110,607,42,158.9,64.6,283.6,Hydro,46.6,163.8,Vourukasha's Glow,HP,4780,27.2,Crit Rate:2.7 | ATK:14 | HP%:22.2 | Crit DMG:21.8,Emblem of Severed Fate,ATK,311,46.6,Crit Rate:8.9 | Crit DMG:28.8 | ER%:5.8 | HP%:5.8,Vourukasha's Glow,HP%,46.6,40.4,ER%:9.7 | DEF%:6.6 | Crit DMG:12.4 | Crit Rate:14,Emblem of Severed Fate,Hydro DMG%,46.6,38.8,HP:239 | Crit DMG:20.2 | EM:42 | Crit Rate:9.3,Emblem of Severed Fate,Crit DMG,62.2,10.8,Crit Rate:5.4 | HP%:11.1 | ER%:23.3 | DEF:23
