Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Keqing,100,18814,2632,906,35,104.5,81.6,247.5,Pyro,42.0,206.10000000000002,4
Skirk,100,20675,2237,949,21,100.0,72.9,247.7,Cryo,61.6,188.99999999999997,1
Mavuika,100,18224,2996,894,163,100.0,50.6,240.7,Pyro,46.6,159.6,1
ID_10000126,95,19323,1243,2655,134,100.0,62.2,293.2,N/A,0.0,168.8,1
Tartaglia,90,18660,1826,833,103,110.4,96.8,177.5,Hydro,90.4,182.7,1
Zhongli,90,33190,1891,738,0,133.0,79.7,217.9,Geo,90.4,189.00000000000003,1
Kamisato Ayato,90,19354,1931,849,98,100.0,87.1,229.1,Pyro,30.0,176.5,2
Flins,90,17853,2677,850,229,127.2,65.2,208.1,N/A,0.0,133.70000000000002,1
Columbina,90,39259,1027,650,120,111.7,57.6,266.5,N/A,0.0,132.8,1
Yelan,90,39361,1110,607,42,158.9,64.6,283.6,Hydro,46.6,163.8,5
Raiden Shogun,90,17687,4130,835,61,266.1,69.5,144.0,Electro,132.8,160.79999999999998,5
Furina,90,39681,1167,696,19,131.1,59.2,284.3,N/A,0.0,153.7,1
