Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,Weapon_Refine
Eula,90,18622,2314,846,19,111.7,85.9,194.1,N/A,0.0,205.3,1
Sangonomiya Kokomi,90,40121,1361,871,44,154.4,-95.0,62.4,Hydro,75.4,12.4,1
Keqing,90,18716,2371,815,33,109.1,84.7,234.3,Pyro,12.0,199.0,1
Ganyu,90,15033,2303,727,99,100.0,59.8,207.3,Cryo,46.6,166.29999999999998,5
Raiden Shogun,90,18135,2531,849,0,280.3,77.7,145.6,Electro,72.1,178.79999999999998,1
Tartaglia,90,18494,2340,831,0,127.9,76.2,204.7,Hydro,90.4,168.6,1
Wanderer,90,16136,2049,753,21,100.0,95.4,193.6,Anemo,61.6,179.39999999999998,1
Furina,90,40065,1186,790,0,114.9,81.8,274.2,N/A,0.0,189.0,1
Mavuika,90,19054,2134,942,21,116.8,51.4,247.7,Pyro,46.6,167.79999999999998,1
Skirk,90,17466,1679,847,77,111.7,69.2,241.4,Pyro,12.0,186.39999999999998,1
Columbina,90,40359,1045,617,96,104.5,63.1,260.2,N/A,0.0,137.5,1
Navia,90,18407,2547,853,16,106.5,101.7,179.3,Geo,46.6,178.10000000000002,1
