Character,Level,HP,ATK,DEF,EM,ER%,Crit_Rate%,Crit_DMG%,Element,Elem_Bonus%,Total_CV,FL_Set,FL_Main,FL_MainVal,FL_CV,FL_Subs,PL_Set,PL_Main,PL_MainVal,PL_CV,PL_Subs,SA_Set,SA_Main,SA_MainVal,SA_CV,SA_Subs,GO_Set,GO_Main,GO_MainVal,GO_CV,GO_Subs,CI_Set,CI_Main,CI_MainVal,CI_CV,CI_Subs
Eula,90,18622,2314,846,19,111.7,85.9,194.1,N/A,0.0,205.3,Fragment of Harmonic Whimsy,HP,4780,50.6,Crit DMG:14.8 | ER%:5.2 | Crit Rate:17.9 | ATK:18,Shimenawa's Reminiscence,ATK,311,43.6,ER%:6.5 | Crit DMG:7 | Crit Rate:18.3 | DEF:35,Shimenawa's Reminiscence,ATK%,46.6,45.1,ATK:37 | Crit DMG:15.5 | HP%:4.7 | Crit Rate:14.8,Shimenawa's Reminiscence,Physical DMG%,58.3,38.0,DEF:39 | EM:19 | Crit Rate:15.9 | Crit DMG:6.2,Shimenawa's Reminiscence,Crit DMG,62.2,28.0,DEF:21 | ATK:18 | Crit Rate:14 | ATK%:15.7
Sangonomiya Kokomi,90,40121,1361,871,44,154.4,-95.0,62.4,Hydro,75.4,12.4,Crimson Witch of Flames,HP,4780,0.0,HP%:15.2 | ATK%:11.1 | ER%:9.7 | DEF:21,Crimson Witch of Flames,ATK,311,12.4,ER%:12.3 | HP%:15.7 | HP:209 | Crit DMG:12.4,Crimson Witch of Flames,HP%,46.6,0.0,DEF:39 | ATK:31 | ER%:16.2 | DEF%:5.1,Wanderer's Troupe,Hydro DMG%,46.6,0.0,EM:44 | HP%:15.7 | DEF%:7.3 | ER%:16.2,Crimson Witch of Flames,Healing%,35.9,0.0,ATK%:9.9 | HP:299 | HP%:15.7 | DEF%:10.9
Keqing,90,18716,2371,815,33,109.1,84.7,234.3,Pyro,12.0,199.0,Heart of Depth,HP,4780,42.8,ATK%:10.5 | Crit DMG:28.8 | Crit Rate:7 | ER%:4.5,Thundering Fury,ATK,311,38.8,HP%:4.1 | Crit DMG:5.4 | Crit Rate:16.7 | ATK%:10.5,Thundering Fury,ATK%,46.6,45.2,Crit Rate:12.1 | Crit DMG:21 | ER%:4.5 | EM:16,Heart of Depth,Electro DMG%,46.6,45.0,Crit DMG:19.4 | HP:299 | ATK%:5.3 | Crit Rate:12.8,Song of Days Past,Crit Rate,31.1,27.2,EM:16 | ATK%:15.7 | DEF:16 | Crit DMG:27.2
Ganyu,90,15033,2303,727,99,100.0,59.8,207.3,Cryo,46.6,166.29999999999998,Thundersoother,HP,4780,34.2,ATK:19 | Crit DMG:7 | Crit Rate:13.6 | ATK%:8.7,Thundersoother,ATK,311,28.0,Crit Rate:10.5 | HP%:4.7 | Crit DMG:7 | ATK%:15.2,Thundersoother,ATK%,46.6,42.0,ATK:16 | DEF%:6.6 | Crit DMG:13.2 | Crit Rate:14.4,Wanderer's Troupe,Cryo DMG%,46.6,41.9,DEF%:5.8 | ATK:16 | Crit DMG:29.5 | Crit Rate:6.2,Thundersoother,Crit DMG,62.2,20.2,EM:19 | Crit Rate:10.1 | DEF:19 | ATK%:20.4
Raiden Shogun,90,18135,2531,849,0,280.3,77.7,145.6,Electro,72.1,178.79999999999998,Emblem of Severed Fate,HP,4780,48.2,DEF:23 | ATK:16 | Crit DMG:28 | Crit Rate:10.1,Emblem of Severed Fate,ATK,311,33.4,Crit DMG:14 | Crit Rate:9.7 | HP:239 | ATK%:15.2,Emblem of Severed Fate,ER%,51.8,35.8,ATK%:11.1 | Crit Rate:7.8 | Crit DMG:20.2 | HP:209,Fragment of Harmonic Whimsy,ATK%,46.6,48.2,Crit Rate:14 | ER%:6.5 | DEF:16 | Crit DMG:20.2,Emblem of Severed Fate,Crit Rate,31.1,13.2,ATK%:9.9 | Crit DMG:13.2 | ER%:14.9 | DEF:21
Tartaglia,90,18494,2340,831,0,127.9,76.2,204.7,Hydro,90.4,168.6,Nymph's Dream,HP,4780,44.4,Crit Rate:14.8 | ATK%:4.1 | Crit DMG:14.8 | ER%:6.5,Nymph's Dream,ATK,311,33.4,Crit Rate:6.6 | ATK%:10.5 | Crit DMG:20.2 | DEF:16,Heart of Depth,ATK%,46.6,39.6,ATK:19 | ER%:10.4 | Crit DMG:20.2 | Crit Rate:9.7,Heart of Depth,Hydro DMG%,46.6,31.0,Crit Rate:8.9 | ER%:11 | ATK%:5.8 | Crit DMG:13.2,Pale Flame,Crit Rate,31.1,20.2,HP%:4.7 | ATK:18 | ATK%:14 | Crit DMG:20.2
Wanderer,90,16136,2049,753,21,100.0,95.4,193.6,Anemo,61.6,179.39999999999998,Desert Pavilion Chronicle,HP,4780,26.4,DEF%:5.8 | Crit Rate:3.5 | Crit DMG:19.4 | ATK%:15.2,Desert Pavilion Chronicle,ATK,311,41.9,HP:508 | DEF:19 | Crit DMG:22.5 | Crit Rate:9.7,Desert Pavilion Chronicle,ATK%,46.6,41.9,Crit Rate:12.4 | EM:21 | Crit DMG:17.1 | DEF:16,Set_15026,Anemo DMG%,46.6,36.6,Crit Rate:14.4 | Crit DMG:7.8 | DEF%:6.6 | ATK%:11.7,Desert Pavilion Chronicle,Crit Rate,31.1,32.6,HP:269 | HP%:4.1 | Crit DMG:32.6 | DEF%:5.8
Furina,90,40065,1186,790,0,114.9,81.8,274.2,N/A,0.0,189.0,Thundersoother,HP,4780,39.6,ER%:4.5 | Crit DMG:32.6 | Crit Rate:3.5 | HP%:10.5,Golden Troupe,ATK,311,43.6,Crit DMG:13.2 | Crit Rate:15.2 | HP%:9.9 | ATK%:4.7,Golden Troupe,HP%,46.6,42.0,ER%:10.4 | Crit DMG:21.8 | Crit Rate:10.1 | ATK:19,Golden Troupe,HP%,46.6,45.2,ATK:16 | DEF:23 | Crit Rate:19.5 | Crit DMG:6.2,Golden Troupe,Crit DMG,62.2,18.6,HP%:16.9 | Crit Rate:9.3 | DEF%:10.2 | ATK:18
Mavuika,90,19054,2134,942,21,116.8,51.4,247.7,Pyro,46.6,167.79999999999998,Obsidian Codex,HP,4780,38.9,HP%:4.7 | Crit DMG:25.7 | ATK%:4.1 | Crit Rate:6.6,Obsidian Codex,ATK,311,31.8,ER%:11.7 | Crit DMG:26.4 | Crit Rate:2.7 | DEF%:5.8,Obsidian Codex,ATK%,46.6,36.5,Crit Rate:3.1 | Crit DMG:30.3 | HP:478 | EM:21,Obsidian Codex,Pyro DMG%,46.6,35.0,Crit DMG:14.8 | ATK%:9.9 | Crit Rate:10.1 | ER%:5.2,Scroll of the Hero of Cinder City,Crit DMG,62.2,25.6,ATK%:5.3 | HP%:5.3 | Crit Rate:12.8 | DEF%:13.1
Skirk,90,17466,1679,847,77,111.7,69.2,241.4,Pyro,12.0,186.39999999999998,Finale of the Deep Galleries,HP,4780,36.5,Crit DMG:17.9 | Crit Rate:9.3 | ATK%:4.7 | EM:23,Finale of the Deep Galleries,ATK,311,46.6,DEF%:5.1 | Crit DMG:12.4 | Crit Rate:17.1 | EM:16,Finale of the Deep Galleries,ATK%,46.6,39.6,Crit Rate:13.6 | Crit DMG:12.4 | HP:269 | ATK:35,Nighttime Whispers in the Echoing Woods,Cryo DMG%,46.6,36.5,ATK:18 | Crit Rate:10.5 | Crit DMG:15.5 | ATK%:11.7,Finale of the Deep Galleries,Crit DMG,62.2,27.2,ATK%:5.3 | EM:37 | Crit Rate:13.6 | ER%:11.7
